summary_level,scenario,scenario_label,domain,language,language_label,lang_id,expected_language,agent_llm,agent_family,experiment_count,task_count,turns_total,detected_turns,english_turns,non_target_turns,target_turns,english_turn_share,non_target_turn_share,target_turn_share,median_task_english_turn_share,median_task_non_target_turn_share,median_first_non_target_turn,detected_lang_proportion,non_target_lang_proportion,detected_lang_proportion_json,non_target_lang_proportion_json
domain_language_model,2-multilingual-tools,L2 Tools,airline,filipino,TL,tl,en,openai/gpt-5-mini,gpt-5-mini,1,50,675,675,675,0,675,1.0,0.0,1.0,1.0,0.0,,en_1.000,,"{""en"":1.0}",{}
domain_language_model,2-multilingual-tools,L2 Tools,airline,filipino,TL,tl,en,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen3-235b,1,50,833,833,833,0,833,1.0,0.0,1.0,1.0,0.0,,en_1.000,,"{""en"":1.0}",{}
domain_language_model,2-multilingual-tools,L2 Tools,airline,indonesian,ID,id,en,openai/gpt-5-mini,gpt-5-mini,1,50,678,678,678,0,678,1.0,0.0,1.0,1.0,0.0,,en_1.000,,"{""en"":1.0}",{}
domain_language_model,2-multilingual-tools,L2 Tools,airline,indonesian,ID,id,en,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen3-235b,1,50,803,803,803,0,803,1.0,0.0,1.0,1.0,0.0,,en_1.000,,"{""en"":1.0}",{}
domain_language_model,2-multilingual-tools,L2 Tools,airline,thai,TH,th,en,openai/gpt-5-mini,gpt-5-mini,1,50,684,684,684,0,684,1.0,0.0,1.0,1.0,0.0,,en_1.000,,"{""en"":1.0}",{}
domain_language_model,2-multilingual-tools,L2 Tools,airline,thai,TH,th,en,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen3-235b,1,50,856,856,856,0,856,1.0,0.0,1.0,1.0,0.0,,en_1.000,,"{""en"":1.0}",{}
domain_language_model,2-multilingual-tools,L2 Tools,airline,tool_mix_2,Mix 2,en,en,openai/gpt-5-mini,gpt-5-mini,1,50,665,665,664,1,664,0.998496,0.001504,0.998496,1.0,0.0,43.0,en_0.998|el_0.002,el_0.002,"{""el"":0.001504,""en"":0.998496}","{""el"":0.001504}"
domain_language_model,2-multilingual-tools,L2 Tools,airline,tool_mix_2,Mix 2,en,en,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen3-235b,1,50,779,779,779,0,779,1.0,0.0,1.0,1.0,0.0,,en_1.000,,"{""en"":1.0}",{}
domain_language_model,2-multilingual-tools,L2 Tools,airline,tool_mix_3,Mix 3,en,en,openai/gpt-5-mini,gpt-5-mini,1,50,699,699,699,0,699,1.0,0.0,1.0,1.0,0.0,,en_1.000,,"{""en"":1.0}",{}
domain_language_model,2-multilingual-tools,L2 Tools,airline,tool_mix_3,Mix 3,en,en,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen3-235b,1,50,838,838,838,0,838,1.0,0.0,1.0,1.0,0.0,,en_1.000,,"{""en"":1.0}",{}
domain_language_model,2-multilingual-tools,L2 Tools,airline,tool_mix_4,Mix 4,en,en,openai/gpt-5-mini,gpt-5-mini,1,50,714,714,714,0,714,1.0,0.0,1.0,1.0,0.0,,en_1.000,,"{""en"":1.0}",{}
domain_language_model,2-multilingual-tools,L2 Tools,airline,tool_mix_4,Mix 4,en,en,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen3-235b,1,50,795,795,795,0,795,1.0,0.0,1.0,1.0,0.0,,en_1.000,,"{""en"":1.0}",{}
domain_language_model,2-multilingual-tools,L2 Tools,airline,tool_mix_5,Mix 5,en,en,openai/gpt-5-mini,gpt-5-mini,1,50,666,666,666,0,666,1.0,0.0,1.0,1.0,0.0,,en_1.000,,"{""en"":1.0}",{}
domain_language_model,2-multilingual-tools,L2 Tools,airline,tool_mix_5,Mix 5,en,en,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen3-235b,1,50,821,821,821,0,821,1.0,0.0,1.0,1.0,0.0,,en_1.000,,"{""en"":1.0}",{}
domain_language_model,2-multilingual-tools,L2 Tools,airline,vietnamese,VI,vi,en,openai/gpt-5-mini,gpt-5-mini,1,50,697,697,697,0,697,1.0,0.0,1.0,1.0,0.0,,en_1.000,,"{""en"":1.0}",{}
domain_language_model,2-multilingual-tools,L2 Tools,airline,vietnamese,VI,vi,en,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen3-235b,1,50,790,790,790,0,790,1.0,0.0,1.0,1.0,0.0,,en_1.000,,"{""en"":1.0}",{}
domain_language_model,2-multilingual-tools,L2 Tools,retail,chinese,ZH,zh,en,openai/gpt-5-mini,gpt-5-mini,1,114,1704,1704,1704,0,1704,1.0,0.0,1.0,1.0,0.0,,en_1.000,,"{""en"":1.0}",{}
domain_language_model,2-multilingual-tools,L2 Tools,retail,chinese,ZH,zh,en,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen3-235b,1,114,1907,1907,1907,0,1907,1.0,0.0,1.0,1.0,0.0,,en_1.000,,"{""en"":1.0}",{}
domain_language_model,2-multilingual-tools,L2 Tools,retail,filipino,TL,tl,en,openai/gpt-5-mini,gpt-5-mini,1,114,1730,1730,1730,0,1730,1.0,0.0,1.0,1.0,0.0,,en_1.000,,"{""en"":1.0}",{}
domain_language_model,2-multilingual-tools,L2 Tools,retail,filipino,TL,tl,en,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen3-235b,1,114,1924,1924,1924,0,1924,1.0,0.0,1.0,1.0,0.0,,en_1.000,,"{""en"":1.0}",{}
domain_language_model,2-multilingual-tools,L2 Tools,retail,indonesian,ID,id,en,openai/gpt-5-mini,gpt-5-mini,1,114,1735,1735,1735,0,1735,1.0,0.0,1.0,1.0,0.0,,en_1.000,,"{""en"":1.0}",{}
domain_language_model,2-multilingual-tools,L2 Tools,retail,indonesian,ID,id,en,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen3-235b,1,114,1911,1911,1911,0,1911,1.0,0.0,1.0,1.0,0.0,,en_1.000,,"{""en"":1.0}",{}
domain_language_model,2-multilingual-tools,L2 Tools,retail,thai,TH,th,en,openai/gpt-5-mini,gpt-5-mini,1,114,1740,1740,1740,0,1740,1.0,0.0,1.0,1.0,0.0,,en_1.000,,"{""en"":1.0}",{}
domain_language_model,2-multilingual-tools,L2 Tools,retail,thai,TH,th,en,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen3-235b,1,114,1905,1905,1905,0,1905,1.0,0.0,1.0,1.0,0.0,,en_1.000,,"{""en"":1.0}",{}
domain_language_model,2-multilingual-tools,L2 Tools,retail,tool_mix_2,Mix 2,en,en,openai/gpt-5-mini,gpt-5-mini,1,114,1751,1751,1751,0,1751,1.0,0.0,1.0,1.0,0.0,,en_1.000,,"{""en"":1.0}",{}
domain_language_model,2-multilingual-tools,L2 Tools,retail,tool_mix_2,Mix 2,en,en,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen3-235b,1,114,1879,1879,1879,0,1879,1.0,0.0,1.0,1.0,0.0,,en_1.000,,"{""en"":1.0}",{}
domain_language_model,2-multilingual-tools,L2 Tools,retail,tool_mix_3,Mix 3,en,en,openai/gpt-5-mini,gpt-5-mini,1,114,1746,1746,1746,0,1746,1.0,0.0,1.0,1.0,0.0,,en_1.000,,"{""en"":1.0}",{}
domain_language_model,2-multilingual-tools,L2 Tools,retail,tool_mix_3,Mix 3,en,en,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen3-235b,1,114,1972,1972,1972,0,1972,1.0,0.0,1.0,1.0,0.0,,en_1.000,,"{""en"":1.0}",{}
domain_language_model,2-multilingual-tools,L2 Tools,retail,tool_mix_4,Mix 4,en,en,openai/gpt-5-mini,gpt-5-mini,1,114,1812,1812,1812,0,1812,1.0,0.0,1.0,1.0,0.0,,en_1.000,,"{""en"":1.0}",{}
domain_language_model,2-multilingual-tools,L2 Tools,retail,tool_mix_4,Mix 4,en,en,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen3-235b,1,114,1975,1975,1975,0,1975,1.0,0.0,1.0,1.0,0.0,,en_1.000,,"{""en"":1.0}",{}
domain_language_model,2-multilingual-tools,L2 Tools,retail,tool_mix_5,Mix 5,en,en,openai/gpt-5-mini,gpt-5-mini,1,114,1790,1790,1790,0,1790,1.0,0.0,1.0,1.0,0.0,,en_1.000,,"{""en"":1.0}",{}
domain_language_model,2-multilingual-tools,L2 Tools,retail,tool_mix_5,Mix 5,en,en,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen3-235b,1,114,1946,1946,1946,0,1946,1.0,0.0,1.0,1.0,0.0,,en_1.000,,"{""en"":1.0}",{}
domain_language_model,2-multilingual-tools,L2 Tools,retail,vietnamese,VI,vi,en,openai/gpt-5-mini,gpt-5-mini,1,114,1743,1743,1743,0,1743,1.0,0.0,1.0,1.0,0.0,,en_1.000,,"{""en"":1.0}",{}
domain_language_model,2-multilingual-tools,L2 Tools,retail,vietnamese,VI,vi,en,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen3-235b,1,114,1948,1948,1948,0,1948,1.0,0.0,1.0,1.0,0.0,,en_1.000,,"{""en"":1.0}",{}
domain_language_model,2-multilingual-tools,L2 Tools,telecom,chinese,ZH,zh,en,openai/gpt-5-mini,gpt-5-mini,1,114,2987,2987,2986,1,2986,0.999665,0.000335,0.999665,1.0,0.0,18.0,en_1.000|pa_0.000,pa_0.000,"{""en"":0.999665,""pa"":0.000335}","{""pa"":0.000335}"
domain_language_model,2-multilingual-tools,L2 Tools,telecom,chinese,ZH,zh,en,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen3-235b,1,114,4202,4202,4116,86,4116,0.979534,0.020466,0.979534,1.0,0.0,32.0,en_0.980|ko_0.019|si_0.001|la_0.000,ko_0.019|si_0.001|la_0.000,"{""en"":0.979534,""ko"":0.019277,""la"":0.000238,""si"":0.000952}","{""ko"":0.019277,""la"":0.000238,""si"":0.000952}"
domain_language_model,2-multilingual-tools,L2 Tools,telecom,filipino,TL,tl,en,openai/gpt-5-mini,gpt-5-mini,1,114,2928,2928,2928,0,2928,1.0,0.0,1.0,1.0,0.0,,en_1.000,,"{""en"":1.0}",{}
domain_language_model,2-multilingual-tools,L2 Tools,telecom,filipino,TL,tl,en,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen3-235b,1,114,3883,3883,3803,80,3803,0.979397,0.020603,0.979397,1.0,0.0,26.0,en_0.979|ko_0.019|si_0.001,ko_0.019|si_0.001,"{""en"":0.979397,""ko"":0.019315,""si"":0.001288}","{""ko"":0.019315,""si"":0.001288}"
domain_language_model,2-multilingual-tools,L2 Tools,telecom,indonesian,ID,id,en,openai/gpt-5-mini,gpt-5-mini,1,114,2839,2839,2839,0,2839,1.0,0.0,1.0,1.0,0.0,,en_1.000,,"{""en"":1.0}",{}
domain_language_model,2-multilingual-tools,L2 Tools,telecom,indonesian,ID,id,en,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen3-235b,1,114,3875,3875,3819,56,3819,0.985548,0.014452,0.985548,1.0,0.0,28.0,en_0.986|ko_0.013|si_0.001,ko_0.013|si_0.001,"{""en"":0.985548,""ko"":0.013419,""si"":0.001032}","{""ko"":0.013419,""si"":0.001032}"
domain_language_model,2-multilingual-tools,L2 Tools,telecom,thai,TH,th,en,openai/gpt-5-mini,gpt-5-mini,1,114,2769,2769,2769,0,2769,1.0,0.0,1.0,1.0,0.0,,en_1.000,,"{""en"":1.0}",{}
domain_language_model,2-multilingual-tools,L2 Tools,telecom,thai,TH,th,en,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen3-235b,1,114,3663,3663,3628,35,3628,0.990445,0.009555,0.990445,1.0,0.0,34.0,en_0.990|ko_0.010,ko_0.010,"{""en"":0.990445,""ko"":0.009555}","{""ko"":0.009555}"
domain_language_model,2-multilingual-tools,L2 Tools,telecom,tool_mix_2,Mix 2,en,en,openai/gpt-5-mini,gpt-5-mini,1,114,2853,2853,2852,1,2852,0.999649,0.000351,0.999649,1.0,0.0,32.0,en_1.000|ja_0.000,ja_0.000,"{""en"":0.999649,""ja"":0.000351}","{""ja"":0.000351}"
domain_language_model,2-multilingual-tools,L2 Tools,telecom,tool_mix_2,Mix 2,en,en,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen3-235b,1,114,3907,3907,3844,63,3844,0.983875,0.016125,0.983875,1.0,0.0,24.0,en_0.984|ko_0.016|si_0.001,ko_0.016|si_0.001,"{""en"":0.983875,""ko"":0.015613,""si"":0.000512}","{""ko"":0.015613,""si"":0.000512}"
domain_language_model,2-multilingual-tools,L2 Tools,telecom,tool_mix_3,Mix 3,en,en,openai/gpt-5-mini,gpt-5-mini,1,114,2965,2965,2965,0,2965,1.0,0.0,1.0,1.0,0.0,,en_1.000,,"{""en"":1.0}",{}
domain_language_model,2-multilingual-tools,L2 Tools,telecom,tool_mix_3,Mix 3,en,en,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen3-235b,1,114,3701,3701,3638,63,3638,0.982978,0.017022,0.982978,1.0,0.0,30.0,en_0.983|ko_0.016|si_0.001,ko_0.016|si_0.001,"{""en"":0.982978,""ko"":0.015942,""si"":0.001081}","{""ko"":0.015942,""si"":0.001081}"
domain_language_model,2-multilingual-tools,L2 Tools,telecom,tool_mix_4,Mix 4,en,en,openai/gpt-5-mini,gpt-5-mini,1,114,2888,2888,2888,0,2888,1.0,0.0,1.0,1.0,0.0,,en_1.000,,"{""en"":1.0}",{}
domain_language_model,2-multilingual-tools,L2 Tools,telecom,tool_mix_4,Mix 4,en,en,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen3-235b,1,114,3675,3675,3621,54,3621,0.985306,0.014694,0.985306,1.0,0.0,29.0,en_0.985|ko_0.013|si_0.002,ko_0.013|si_0.002,"{""en"":0.985306,""ko"":0.012789,""si"":0.001905}","{""ko"":0.012789,""si"":0.001905}"
domain_language_model,2-multilingual-tools,L2 Tools,telecom,tool_mix_5,Mix 5,en,en,openai/gpt-5-mini,gpt-5-mini,1,114,2848,2848,2848,0,2848,1.0,0.0,1.0,1.0,0.0,,en_1.000,,"{""en"":1.0}",{}
domain_language_model,2-multilingual-tools,L2 Tools,telecom,tool_mix_5,Mix 5,en,en,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen3-235b,1,114,3782,3782,3722,60,3722,0.984135,0.015865,0.984135,1.0,0.0,28.0,en_0.984|ko_0.015|si_0.001,ko_0.015|si_0.001,"{""en"":0.984135,""ko"":0.014807,""si"":0.001058}","{""ko"":0.014807,""si"":0.001058}"
domain_language_model,2-multilingual-tools,L2 Tools,telecom,vietnamese,VI,vi,en,openai/gpt-5-mini,gpt-5-mini,1,114,2866,2866,2866,0,2866,1.0,0.0,1.0,1.0,0.0,,en_1.000,,"{""en"":1.0}",{}
domain_language_model,2-multilingual-tools,L2 Tools,telecom,vietnamese,VI,vi,en,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen3-235b,1,114,4082,4082,4008,74,4008,0.981872,0.018128,0.981872,1.0,0.0,33.0,en_0.982|ko_0.017|si_0.001,ko_0.017|si_0.001,"{""en"":0.981872,""ko"":0.017393,""si"":0.000735}","{""ko"":0.017393,""si"":0.000735}"
domain_language_model,3-crosslingual,L2 Interaction,airline,chinese,ZH,zh,zh,azure/kimi-k2.5,kimi-k2.5,1,50,862,862,29,29,833,0.033643,0.033643,0.966357,0.0,0.0,17.0,zh_0.966|en_0.034,en_0.034,"{""en"":0.033643,""zh"":0.966357}","{""en"":0.033643}"
domain_language_model,3-crosslingual,L2 Interaction,airline,chinese,ZH,zh,zh,openrouter/openai/gpt-5-mini,gpt-5-mini,1,50,626,626,162,163,463,0.258786,0.260383,0.739617,0.283423,0.297059,17.0,zh_0.740|en_0.259|ja_0.002,en_0.259|ja_0.002,"{""en"":0.258786,""ja"":0.001597,""zh"":0.739617}","{""en"":0.258786,""ja"":0.001597}"
domain_language_model,3-crosslingual,L2 Interaction,airline,chinese,ZH,zh,zh,openrouter/qwen/qwen3.6-35b-a3b,qwen3.6-35b-a3b,1,50,539,539,55,55,484,0.102041,0.102041,0.897959,0.071795,0.071795,18.0,zh_0.898|en_0.102,en_0.102,"{""en"":0.102041,""zh"":0.897959}","{""en"":0.102041}"
domain_language_model,3-crosslingual,L2 Interaction,airline,chinese,ZH,zh,zh,together_ai/Qwen/Qwen3-235B-A22B-Instruct-2507-tput,qwen3-235b,1,50,636,636,30,30,606,0.04717,0.04717,0.95283,0.0,0.0,17.0,zh_0.953|en_0.047,en_0.047,"{""en"":0.04717,""zh"":0.95283}","{""en"":0.04717}"
domain_language_model,3-crosslingual,L2 Interaction,airline,filipino,TL,tl,tl,azure/kimi-k2.5,kimi-k2.5,1,50,941,941,178,178,763,0.18916,0.18916,0.81084,0.154762,0.154762,16.0,tl_0.811|en_0.189,en_0.189,"{""en"":0.18916,""tl"":0.81084}","{""en"":0.18916}"
domain_language_model,3-crosslingual,L2 Interaction,airline,filipino,TL,tl,tl,openrouter/openai/gpt-5-mini,gpt-5-mini,1,50,677,677,135,136,541,0.199409,0.200886,0.799114,0.222527,0.222527,17.0,tl_0.799|en_0.199|es_0.001,en_0.199|es_0.001,"{""en"":0.199409,""es"":0.001477,""tl"":0.799114}","{""en"":0.199409,""es"":0.001477}"
domain_language_model,3-crosslingual,L2 Interaction,airline,filipino,TL,tl,tl,openrouter/qwen/qwen3.6-35b-a3b,qwen3.6-35b-a3b,1,50,600,600,209,209,391,0.348333,0.348333,0.651667,0.346666,0.346666,14.0,tl_0.652|en_0.348,en_0.348,"{""en"":0.348333,""tl"":0.651667}","{""en"":0.348333}"
domain_language_model,3-crosslingual,L2 Interaction,airline,filipino,TL,tl,tl,together_ai/Qwen/Qwen3-235B-A22B-Instruct-2507-tput,qwen3-235b,1,50,622,622,69,69,553,0.110932,0.110932,0.889068,0.090909,0.090909,18.0,tl_0.889|en_0.111,en_0.111,"{""en"":0.110932,""tl"":0.889068}","{""en"":0.110932}"
domain_language_model,3-crosslingual,L2 Interaction,airline,indonesian,ID,id,id,azure/kimi-k2.5,kimi-k2.5,1,50,914,914,19,24,890,0.020788,0.026258,0.973742,0.0,0.0,13.5,id_0.974|en_0.021|ja_0.003|es_0.002,en_0.021|ja_0.003|es_0.002,"{""en"":0.020788,""es"":0.002188,""id"":0.973742,""ja"":0.003282}","{""en"":0.020788,""es"":0.002188,""ja"":0.003282}"
domain_language_model,3-crosslingual,L2 Interaction,airline,indonesian,ID,id,id,openrouter/openai/gpt-5-mini,gpt-5-mini,1,50,652,652,125,126,526,0.191718,0.193252,0.806748,0.2,0.207143,17.0,id_0.807|en_0.192|lv_0.002,en_0.192|lv_0.002,"{""en"":0.191718,""id"":0.806748,""lv"":0.001534}","{""en"":0.191718,""lv"":0.001534}"
domain_language_model,3-crosslingual,L2 Interaction,airline,indonesian,ID,id,id,openrouter/qwen/qwen3.6-35b-a3b,qwen3.6-35b-a3b,1,50,591,591,50,50,541,0.084602,0.084602,0.915398,0.064584,0.064584,19.0,id_0.915|en_0.085,en_0.085,"{""en"":0.084602,""id"":0.915398}","{""en"":0.084602}"
domain_language_model,3-crosslingual,L2 Interaction,airline,indonesian,ID,id,id,together_ai/Qwen/Qwen3-235B-A22B-Instruct-2507-tput,qwen3-235b,1,50,730,730,17,25,705,0.023288,0.034247,0.965753,0.0,0.0,12.0,id_0.966|en_0.023|zh_0.010|ms_0.001,en_0.023|zh_0.010|ms_0.001,"{""en"":0.023288,""id"":0.965753,""ms"":0.00137,""zh"":0.009589}","{""en"":0.023288,""ms"":0.00137,""zh"":0.009589}"
domain_language_model,3-crosslingual,L2 Interaction,airline,thai,TH,th,th,azure/kimi-k2.5,kimi-k2.5,1,50,871,871,50,50,821,0.057405,0.057405,0.942595,0.044643,0.044643,13.0,th_0.943|en_0.057,en_0.057,"{""en"":0.057405,""th"":0.942595}","{""en"":0.057405}"
domain_language_model,3-crosslingual,L2 Interaction,airline,thai,TH,th,th,openrouter/openai/gpt-5-mini,gpt-5-mini,1,50,604,604,83,83,521,0.137417,0.137417,0.862583,0.15,0.15,14.0,th_0.863|en_0.137,en_0.137,"{""en"":0.137417,""th"":0.862583}","{""en"":0.137417}"
domain_language_model,3-crosslingual,L2 Interaction,airline,thai,TH,th,th,openrouter/qwen/qwen3.6-35b-a3b,qwen3.6-35b-a3b,1,50,537,537,40,40,497,0.074488,0.074488,0.925512,0.0,0.0,18.0,th_0.926|en_0.074,en_0.074,"{""en"":0.074488,""th"":0.925512}","{""en"":0.074488}"
domain_language_model,3-crosslingual,L2 Interaction,airline,thai,TH,th,th,together_ai/Qwen/Qwen3-235B-A22B-Instruct-2507-tput,qwen3-235b,1,50,606,606,21,21,585,0.034653,0.034653,0.965347,0.0,0.0,18.0,th_0.965|en_0.035,en_0.035,"{""en"":0.034653,""th"":0.965347}","{""en"":0.034653}"
domain_language_model,3-crosslingual,L2 Interaction,airline,vietnamese,VI,vi,vi,azure/kimi-k2.5,kimi-k2.5,1,50,908,908,32,32,876,0.035242,0.035242,0.964758,0.0,0.0,12.5,vi_0.965|en_0.035,en_0.035,"{""en"":0.035242,""vi"":0.964758}","{""en"":0.035242}"
domain_language_model,3-crosslingual,L2 Interaction,airline,vietnamese,VI,vi,vi,openrouter/openai/gpt-5-mini,gpt-5-mini,1,50,630,630,82,82,548,0.130159,0.130159,0.869841,0.154762,0.154762,16.0,vi_0.870|en_0.130,en_0.130,"{""en"":0.130159,""vi"":0.869841}","{""en"":0.130159}"
domain_language_model,3-crosslingual,L2 Interaction,airline,vietnamese,VI,vi,vi,openrouter/qwen/qwen3.6-35b-a3b,qwen3.6-35b-a3b,1,50,571,571,53,53,518,0.09282,0.09282,0.90718,0.064584,0.064584,20.0,vi_0.907|en_0.093,en_0.093,"{""en"":0.09282,""vi"":0.90718}","{""en"":0.09282}"
domain_language_model,3-crosslingual,L2 Interaction,airline,vietnamese,VI,vi,vi,together_ai/Qwen/Qwen3-235B-A22B-Instruct-2507-tput,qwen3-235b,1,50,730,730,25,25,705,0.034247,0.034247,0.965753,0.0,0.0,18.0,vi_0.966|en_0.034,en_0.034,"{""en"":0.034247,""vi"":0.965753}","{""en"":0.034247}"
domain_language_model,3-crosslingual,L2 Interaction,retail,chinese,ZH,zh,zh,azure/kimi-k2.5,kimi-k2.5,1,114,2112,2112,13,13,2099,0.006155,0.006155,0.993845,0.0,0.0,20.0,zh_0.994|en_0.006,en_0.006,"{""en"":0.006155,""zh"":0.993845}","{""en"":0.006155}"
domain_language_model,3-crosslingual,L2 Interaction,retail,chinese,ZH,zh,zh,openai//project/lt200394-thllmV/jab/seacrowd/models/Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,qwen3-235b,1,114,1580,1580,22,22,1558,0.013924,0.013924,0.986076,0.0,0.0,24.0,zh_0.986|en_0.014,en_0.014,"{""en"":0.013924,""zh"":0.986076}","{""en"":0.013924}"
domain_language_model,3-crosslingual,L2 Interaction,retail,chinese,ZH,zh,zh,openrouter/openai/gpt-5-mini,gpt-5-mini,1,114,1852,1852,286,289,1563,0.154428,0.156048,0.843952,0.130435,0.130435,20.0,zh_0.844|en_0.154|ko_0.001|hu_0.001,en_0.154|ko_0.001|hu_0.001,"{""en"":0.154428,""hu"":0.00054,""ko"":0.00108,""zh"":0.843952}","{""en"":0.154428,""hu"":0.00054,""ko"":0.00108}"
domain_language_model,3-crosslingual,L2 Interaction,retail,chinese,ZH,zh,zh,openrouter/qwen/qwen3.6-35b-a3b,qwen3.6-35b-a3b,1,114,1495,1495,17,17,1478,0.011371,0.011371,0.988629,0.0,0.0,18.0,zh_0.989|en_0.011,en_0.011,"{""en"":0.011371,""zh"":0.988629}","{""en"":0.011371}"
domain_language_model,3-crosslingual,L2 Interaction,retail,filipino,TL,tl,tl,azure/kimi-k2.5,kimi-k2.5,1,113,2392,2392,517,518,1874,0.216137,0.216555,0.783445,0.125,0.125,17.0,tl_0.783|en_0.216|sco_0.000,en_0.216|sco_0.000,"{""en"":0.216137,""sco"":0.000418,""tl"":0.783445}","{""en"":0.216137,""sco"":0.000418}"
domain_language_model,3-crosslingual,L2 Interaction,retail,filipino,TL,tl,tl,openai//project/lt200394-thllmV/jab/seacrowd/models/Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,qwen3-235b,1,114,1664,1664,162,162,1502,0.097356,0.097356,0.902644,0.0,0.0,16.0,tl_0.903|en_0.097,en_0.097,"{""en"":0.097356,""tl"":0.902644}","{""en"":0.097356}"
