scenario,scenario_label,domain,language,language_label,lang_id,expected_language,agent_llm,agent_family,normalized_agent_llm,simulation_source,task_id,turns_total,trials_observed,english_turns,non_target_turns,target_turns,english_turn_share,non_target_turn_share,target_turn_share,first_non_target_turn,detected_lang_proportion,detected_lang_proportion_json
english,En Baseline,airline,english,EN,en,en,azure/kimi-k2.5,kimi-k2.5,kimi-k2.5,data/simulations/english/20260510_122116_airline_llm_agent_kimi-k2.5_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8/20260510_122116_airline_llm_agent_kimi-k2.5_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8,18,21,3,21,0,21,1.0,0.0,1.0,,en_1.000,"{""en"":1.0}"
english,En Baseline,airline,english,EN,en,en,azure/kimi-k2.5,kimi-k2.5,kimi-k2.5,data/simulations/english/20260510_122116_airline_llm_agent_kimi-k2.5_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8/20260510_122116_airline_llm_agent_kimi-k2.5_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8,19,13,3,13,0,13,1.0,0.0,1.0,,en_1.000,"{""en"":1.0}"
english,En Baseline,airline,english,EN,en,en,azure/kimi-k2.5,kimi-k2.5,kimi-k2.5,data/simulations/english/20260510_122116_airline_llm_agent_kimi-k2.5_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8/20260510_122116_airline_llm_agent_kimi-k2.5_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8,2,22,3,22,0,22,1.0,0.0,1.0,,en_1.000,"{""en"":1.0}"
english,En Baseline,airline,english,EN,en,en,azure/kimi-k2.5,kimi-k2.5,kimi-k2.5,data/simulations/english/20260510_122116_airline_llm_agent_kimi-k2.5_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8/20260510_122116_airline_llm_agent_kimi-k2.5_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8,20,19,3,19,0,19,1.0,0.0,1.0,,en_1.000,"{""en"":1.0}"
english,En Baseline,airline,english,EN,en,en,azure/kimi-k2.5,kimi-k2.5,kimi-k2.5,data/simulations/english/20260510_122116_airline_llm_agent_kimi-k2.5_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8/20260510_122116_airline_llm_agent_kimi-k2.5_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8,21,16,3,16,0,16,1.0,0.0,1.0,,en_1.000,"{""en"":1.0}"
english,En Baseline,airline,english,EN,en,en,azure/kimi-k2.5,kimi-k2.5,kimi-k2.5,data/simulations/english/20260510_122116_airline_llm_agent_kimi-k2.5_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8/20260510_122116_airline_llm_agent_kimi-k2.5_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8,22,16,3,16,0,16,1.0,0.0,1.0,,en_1.000,"{""en"":1.0}"
english,En Baseline,airline,english,EN,en,en,azure/kimi-k2.5,kimi-k2.5,kimi-k2.5,data/simulations/english/20260510_122116_airline_llm_agent_kimi-k2.5_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8/20260510_122116_airline_llm_agent_kimi-k2.5_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8,23,24,3,24,0,24,1.0,0.0,1.0,,en_1.000,"{""en"":1.0}"
english,En Baseline,airline,english,EN,en,en,azure/kimi-k2.5,kimi-k2.5,kimi-k2.5,data/simulations/english/20260510_122116_airline_llm_agent_kimi-k2.5_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8/20260510_122116_airline_llm_agent_kimi-k2.5_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8,24,22,3,22,0,22,1.0,0.0,1.0,,en_1.000,"{""en"":1.0}"
english,En Baseline,airline,english,EN,en,en,azure/kimi-k2.5,kimi-k2.5,kimi-k2.5,data/simulations/english/20260510_122116_airline_llm_agent_kimi-k2.5_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8/20260510_122116_airline_llm_agent_kimi-k2.5_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8,25,14,3,14,0,14,1.0,0.0,1.0,,en_1.000,"{""en"":1.0}"
english,En Baseline,airline,english,EN,en,en,azure/kimi-k2.5,kimi-k2.5,kimi-k2.5,data/simulations/english/20260510_122116_airline_llm_agent_kimi-k2.5_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8/20260510_122116_airline_llm_agent_kimi-k2.5_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8,26,12,3,12,0,12,1.0,0.0,1.0,,en_1.000,"{""en"":1.0}"
english,En Baseline,airline,english,EN,en,en,azure/kimi-k2.5,kimi-k2.5,kimi-k2.5,data/simulations/english/20260510_122116_airline_llm_agent_kimi-k2.5_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8/20260510_122116_airline_llm_agent_kimi-k2.5_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8,27,15,3,15,0,15,1.0,0.0,1.0,,en_1.000,"{""en"":1.0}"
english,En Baseline,airline,english,EN,en,en,azure/kimi-k2.5,kimi-k2.5,kimi-k2.5,data/simulations/english/20260510_122116_airline_llm_agent_kimi-k2.5_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8/20260510_122116_airline_llm_agent_kimi-k2.5_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8,28,17,3,17,0,17,1.0,0.0,1.0,,en_1.000,"{""en"":1.0}"
english,En Baseline,airline,english,EN,en,en,azure/kimi-k2.5,kimi-k2.5,kimi-k2.5,data/simulations/english/20260510_122116_airline_llm_agent_kimi-k2.5_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8/20260510_122116_airline_llm_agent_kimi-k2.5_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8,29,26,3,26,0,26,1.0,0.0,1.0,,en_1.000,"{""en"":1.0}"
english,En Baseline,airline,english,EN,en,en,azure/kimi-k2.5,kimi-k2.5,kimi-k2.5,data/simulations/english/20260510_122116_airline_llm_agent_kimi-k2.5_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8/20260510_122116_airline_llm_agent_kimi-k2.5_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8,3,9,3,9,0,9,1.0,0.0,1.0,,en_1.000,"{""en"":1.0}"
english,En Baseline,airline,english,EN,en,en,azure/kimi-k2.5,kimi-k2.5,kimi-k2.5,data/simulations/english/20260510_122116_airline_llm_agent_kimi-k2.5_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8/20260510_122116_airline_llm_agent_kimi-k2.5_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8,30,22,3,22,0,22,1.0,0.0,1.0,,en_1.000,"{""en"":1.0}"
english,En Baseline,airline,english,EN,en,en,azure/kimi-k2.5,kimi-k2.5,kimi-k2.5,data/simulations/english/20260510_122116_airline_llm_agent_kimi-k2.5_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8/20260510_122116_airline_llm_agent_kimi-k2.5_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8,31,15,3,15,0,15,1.0,0.0,1.0,,en_1.000,"{""en"":1.0}"
english,En Baseline,airline,english,EN,en,en,azure/kimi-k2.5,kimi-k2.5,kimi-k2.5,data/simulations/english/20260510_122116_airline_llm_agent_kimi-k2.5_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8/20260510_122116_airline_llm_agent_kimi-k2.5_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8,32,27,3,27,0,27,1.0,0.0,1.0,,en_1.000,"{""en"":1.0}"
english,En Baseline,airline,english,EN,en,en,azure/kimi-k2.5,kimi-k2.5,kimi-k2.5,data/simulations/english/20260510_122116_airline_llm_agent_kimi-k2.5_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8/20260510_122116_airline_llm_agent_kimi-k2.5_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8,33,29,3,29,0,29,1.0,0.0,1.0,,en_1.000,"{""en"":1.0}"
english,En Baseline,airline,english,EN,en,en,azure/kimi-k2.5,kimi-k2.5,kimi-k2.5,data/simulations/english/20260510_122116_airline_llm_agent_kimi-k2.5_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8/20260510_122116_airline_llm_agent_kimi-k2.5_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8,34,18,3,18,0,18,1.0,0.0,1.0,,en_1.000,"{""en"":1.0}"
english,En Baseline,airline,english,EN,en,en,azure/kimi-k2.5,kimi-k2.5,kimi-k2.5,data/simulations/english/20260510_122116_airline_llm_agent_kimi-k2.5_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8/20260510_122116_airline_llm_agent_kimi-k2.5_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8,35,15,3,15,0,15,1.0,0.0,1.0,,en_1.000,"{""en"":1.0}"
english,En Baseline,airline,english,EN,en,en,azure/kimi-k2.5,kimi-k2.5,kimi-k2.5,data/simulations/english/20260510_122116_airline_llm_agent_kimi-k2.5_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8/20260510_122116_airline_llm_agent_kimi-k2.5_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8,36,14,3,14,0,14,1.0,0.0,1.0,,en_1.000,"{""en"":1.0}"
english,En Baseline,airline,english,EN,en,en,azure/kimi-k2.5,kimi-k2.5,kimi-k2.5,data/simulations/english/20260510_122116_airline_llm_agent_kimi-k2.5_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8/20260510_122116_airline_llm_agent_kimi-k2.5_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8,37,15,3,15,0,15,1.0,0.0,1.0,,en_1.000,"{""en"":1.0}"
english,En Baseline,airline,english,EN,en,en,azure/kimi-k2.5,kimi-k2.5,kimi-k2.5,data/simulations/english/20260510_122116_airline_llm_agent_kimi-k2.5_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8/20260510_122116_airline_llm_agent_kimi-k2.5_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8,38,21,3,21,0,21,1.0,0.0,1.0,,en_1.000,"{""en"":1.0}"
english,En Baseline,airline,english,EN,en,en,azure/kimi-k2.5,kimi-k2.5,kimi-k2.5,data/simulations/english/20260510_122116_airline_llm_agent_kimi-k2.5_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8/20260510_122116_airline_llm_agent_kimi-k2.5_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8,39,20,3,20,0,20,1.0,0.0,1.0,,en_1.000,"{""en"":1.0}"
english,En Baseline,airline,english,EN,en,en,azure/kimi-k2.5,kimi-k2.5,kimi-k2.5,data/simulations/english/20260510_122116_airline_llm_agent_kimi-k2.5_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8/20260510_122116_airline_llm_agent_kimi-k2.5_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8,4,19,3,19,0,19,1.0,0.0,1.0,,en_1.000,"{""en"":1.0}"
english,En Baseline,airline,english,EN,en,en,azure/kimi-k2.5,kimi-k2.5,kimi-k2.5,data/simulations/english/20260510_122116_airline_llm_agent_kimi-k2.5_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8/20260510_122116_airline_llm_agent_kimi-k2.5_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8,40,12,3,12,0,12,1.0,0.0,1.0,,en_1.000,"{""en"":1.0}"
english,En Baseline,airline,english,EN,en,en,azure/kimi-k2.5,kimi-k2.5,kimi-k2.5,data/simulations/english/20260510_122116_airline_llm_agent_kimi-k2.5_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8/20260510_122116_airline_llm_agent_kimi-k2.5_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8,41,15,3,15,0,15,1.0,0.0,1.0,,en_1.000,"{""en"":1.0}"
english,En Baseline,airline,english,EN,en,en,azure/kimi-k2.5,kimi-k2.5,kimi-k2.5,data/simulations/english/20260510_122116_airline_llm_agent_kimi-k2.5_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8/20260510_122116_airline_llm_agent_kimi-k2.5_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8,42,17,3,17,0,17,1.0,0.0,1.0,,en_1.000,"{""en"":1.0}"
english,En Baseline,airline,english,EN,en,en,azure/kimi-k2.5,kimi-k2.5,kimi-k2.5,data/simulations/english/20260510_122116_airline_llm_agent_kimi-k2.5_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8/20260510_122116_airline_llm_agent_kimi-k2.5_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8,43,21,3,21,0,21,1.0,0.0,1.0,,en_1.000,"{""en"":1.0}"
english,En Baseline,airline,english,EN,en,en,azure/kimi-k2.5,kimi-k2.5,kimi-k2.5,data/simulations/english/20260510_122116_airline_llm_agent_kimi-k2.5_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8/20260510_122116_airline_llm_agent_kimi-k2.5_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8,44,14,3,14,0,14,1.0,0.0,1.0,,en_1.000,"{""en"":1.0}"
english,En Baseline,airline,english,EN,en,en,azure/kimi-k2.5,kimi-k2.5,kimi-k2.5,data/simulations/english/20260510_122116_airline_llm_agent_kimi-k2.5_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8/20260510_122116_airline_llm_agent_kimi-k2.5_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8,45,24,3,24,0,24,1.0,0.0,1.0,,en_1.000,"{""en"":1.0}"
english,En Baseline,airline,english,EN,en,en,azure/kimi-k2.5,kimi-k2.5,kimi-k2.5,data/simulations/english/20260510_122116_airline_llm_agent_kimi-k2.5_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8/20260510_122116_airline_llm_agent_kimi-k2.5_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8,46,12,3,12,0,12,1.0,0.0,1.0,,en_1.000,"{""en"":1.0}"
english,En Baseline,airline,english,EN,en,en,azure/kimi-k2.5,kimi-k2.5,kimi-k2.5,data/simulations/english/20260510_122116_airline_llm_agent_kimi-k2.5_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8/20260510_122116_airline_llm_agent_kimi-k2.5_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8,47,18,3,18,0,18,1.0,0.0,1.0,,en_1.000,"{""en"":1.0}"
english,En Baseline,airline,english,EN,en,en,azure/kimi-k2.5,kimi-k2.5,kimi-k2.5,data/simulations/english/20260510_122116_airline_llm_agent_kimi-k2.5_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8/20260510_122116_airline_llm_agent_kimi-k2.5_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8,48,16,3,16,0,16,1.0,0.0,1.0,,en_1.000,"{""en"":1.0}"
english,En Baseline,airline,english,EN,en,en,azure/kimi-k2.5,kimi-k2.5,kimi-k2.5,data/simulations/english/20260510_122116_airline_llm_agent_kimi-k2.5_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8/20260510_122116_airline_llm_agent_kimi-k2.5_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8,49,13,3,13,0,13,1.0,0.0,1.0,,en_1.000,"{""en"":1.0}"
english,En Baseline,airline,english,EN,en,en,azure/kimi-k2.5,kimi-k2.5,kimi-k2.5,data/simulations/english/20260510_122116_airline_llm_agent_kimi-k2.5_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8/20260510_122116_airline_llm_agent_kimi-k2.5_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8,5,19,3,19,0,19,1.0,0.0,1.0,,en_1.000,"{""en"":1.0}"
english,En Baseline,airline,english,EN,en,en,azure/kimi-k2.5,kimi-k2.5,kimi-k2.5,data/simulations/english/20260510_122116_airline_llm_agent_kimi-k2.5_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8/20260510_122116_airline_llm_agent_kimi-k2.5_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8,6,24,3,24,0,24,1.0,0.0,1.0,,en_1.000,"{""en"":1.0}"
english,En Baseline,airline,english,EN,en,en,azure/kimi-k2.5,kimi-k2.5,kimi-k2.5,data/simulations/english/20260510_122116_airline_llm_agent_kimi-k2.5_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8/20260510_122116_airline_llm_agent_kimi-k2.5_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8,7,22,3,22,0,22,1.0,0.0,1.0,,en_1.000,"{""en"":1.0}"
english,En Baseline,airline,english,EN,en,en,azure/kimi-k2.5,kimi-k2.5,kimi-k2.5,data/simulations/english/20260510_122116_airline_llm_agent_kimi-k2.5_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8/20260510_122116_airline_llm_agent_kimi-k2.5_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8,8,10,3,10,0,10,1.0,0.0,1.0,,en_1.000,"{""en"":1.0}"
english,En Baseline,airline,english,EN,en,en,azure/kimi-k2.5,kimi-k2.5,kimi-k2.5,data/simulations/english/20260510_122116_airline_llm_agent_kimi-k2.5_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8/20260510_122116_airline_llm_agent_kimi-k2.5_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8,9,23,3,23,0,23,1.0,0.0,1.0,,en_1.000,"{""en"":1.0}"
english,En Baseline,airline,english,EN,en,en,gpt-5-mini,gpt-5-mini,gpt-5-mini,data/simulations/english/20260426_190623_airline_llm_agent_gpt-5-mini_user_simulator_qwen3-235b-a22b-2507/20260426_190623_airline_llm_agent_gpt-5-mini_user_simulator_qwen3-235b-a22b-2507,0,6,3,6,0,6,1.0,0.0,1.0,,en_1.000,"{""en"":1.0}"
english,En Baseline,airline,english,EN,en,en,gpt-5-mini,gpt-5-mini,gpt-5-mini,data/simulations/english/20260426_190623_airline_llm_agent_gpt-5-mini_user_simulator_qwen3-235b-a22b-2507/20260426_190623_airline_llm_agent_gpt-5-mini_user_simulator_qwen3-235b-a22b-2507,1,12,3,12,0,12,1.0,0.0,1.0,,en_1.000,"{""en"":1.0}"
english,En Baseline,airline,english,EN,en,en,gpt-5-mini,gpt-5-mini,gpt-5-mini,data/simulations/english/20260426_190623_airline_llm_agent_gpt-5-mini_user_simulator_qwen3-235b-a22b-2507/20260426_190623_airline_llm_agent_gpt-5-mini_user_simulator_qwen3-235b-a22b-2507,10,25,3,25,0,25,1.0,0.0,1.0,,en_1.000,"{""en"":1.0}"
english,En Baseline,airline,english,EN,en,en,gpt-5-mini,gpt-5-mini,gpt-5-mini,data/simulations/english/20260426_190623_airline_llm_agent_gpt-5-mini_user_simulator_qwen3-235b-a22b-2507/20260426_190623_airline_llm_agent_gpt-5-mini_user_simulator_qwen3-235b-a22b-2507,11,9,3,9,0,9,1.0,0.0,1.0,,en_1.000,"{""en"":1.0}"
english,En Baseline,airline,english,EN,en,en,gpt-5-mini,gpt-5-mini,gpt-5-mini,data/simulations/english/20260426_190623_airline_llm_agent_gpt-5-mini_user_simulator_qwen3-235b-a22b-2507/20260426_190623_airline_llm_agent_gpt-5-mini_user_simulator_qwen3-235b-a22b-2507,12,14,3,14,0,14,1.0,0.0,1.0,,en_1.000,"{""en"":1.0}"
english,En Baseline,airline,english,EN,en,en,gpt-5-mini,gpt-5-mini,gpt-5-mini,data/simulations/english/20260426_190623_airline_llm_agent_gpt-5-mini_user_simulator_qwen3-235b-a22b-2507/20260426_190623_airline_llm_agent_gpt-5-mini_user_simulator_qwen3-235b-a22b-2507,13,6,3,6,0,6,1.0,0.0,1.0,,en_1.000,"{""en"":1.0}"
english,En Baseline,airline,english,EN,en,en,gpt-5-mini,gpt-5-mini,gpt-5-mini,data/simulations/english/20260426_190623_airline_llm_agent_gpt-5-mini_user_simulator_qwen3-235b-a22b-2507/20260426_190623_airline_llm_agent_gpt-5-mini_user_simulator_qwen3-235b-a22b-2507,14,13,3,13,0,13,1.0,0.0,1.0,,en_1.000,"{""en"":1.0}"
english,En Baseline,airline,english,EN,en,en,gpt-5-mini,gpt-5-mini,gpt-5-mini,data/simulations/english/20260426_190623_airline_llm_agent_gpt-5-mini_user_simulator_qwen3-235b-a22b-2507/20260426_190623_airline_llm_agent_gpt-5-mini_user_simulator_qwen3-235b-a22b-2507,15,15,3,15,0,15,1.0,0.0,1.0,,en_1.000,"{""en"":1.0}"
english,En Baseline,airline,english,EN,en,en,gpt-5-mini,gpt-5-mini,gpt-5-mini,data/simulations/english/20260426_190623_airline_llm_agent_gpt-5-mini_user_simulator_qwen3-235b-a22b-2507/20260426_190623_airline_llm_agent_gpt-5-mini_user_simulator_qwen3-235b-a22b-2507,16,13,3,13,0,13,1.0,0.0,1.0,,en_1.000,"{""en"":1.0}"
english,En Baseline,airline,english,EN,en,en,gpt-5-mini,gpt-5-mini,gpt-5-mini,data/simulations/english/20260426_190623_airline_llm_agent_gpt-5-mini_user_simulator_qwen3-235b-a22b-2507/20260426_190623_airline_llm_agent_gpt-5-mini_user_simulator_qwen3-235b-a22b-2507,17,17,3,17,0,17,1.0,0.0,1.0,,en_1.000,"{""en"":1.0}"
english,En Baseline,airline,english,EN,en,en,gpt-5-mini,gpt-5-mini,gpt-5-mini,data/simulations/english/20260426_190623_airline_llm_agent_gpt-5-mini_user_simulator_qwen3-235b-a22b-2507/20260426_190623_airline_llm_agent_gpt-5-mini_user_simulator_qwen3-235b-a22b-2507,18,16,3,16,0,16,1.0,0.0,1.0,,en_1.000,"{""en"":1.0}"
english,En Baseline,airline,english,EN,en,en,gpt-5-mini,gpt-5-mini,gpt-5-mini,data/simulations/english/20260426_190623_airline_llm_agent_gpt-5-mini_user_simulator_qwen3-235b-a22b-2507/20260426_190623_airline_llm_agent_gpt-5-mini_user_simulator_qwen3-235b-a22b-2507,19,14,3,14,0,14,1.0,0.0,1.0,,en_1.000,"{""en"":1.0}"
english,En Baseline,airline,english,EN,en,en,gpt-5-mini,gpt-5-mini,gpt-5-mini,data/simulations/english/20260426_190623_airline_llm_agent_gpt-5-mini_user_simulator_qwen3-235b-a22b-2507/20260426_190623_airline_llm_agent_gpt-5-mini_user_simulator_qwen3-235b-a22b-2507,2,20,3,20,0,20,1.0,0.0,1.0,,en_1.000,"{""en"":1.0}"
english,En Baseline,airline,english,EN,en,en,gpt-5-mini,gpt-5-mini,gpt-5-mini,data/simulations/english/20260426_190623_airline_llm_agent_gpt-5-mini_user_simulator_qwen3-235b-a22b-2507/20260426_190623_airline_llm_agent_gpt-5-mini_user_simulator_qwen3-235b-a22b-2507,20,13,3,13,0,13,1.0,0.0,1.0,,en_1.000,"{""en"":1.0}"
english,En Baseline,airline,english,EN,en,en,gpt-5-mini,gpt-5-mini,gpt-5-mini,data/simulations/english/20260426_190623_airline_llm_agent_gpt-5-mini_user_simulator_qwen3-235b-a22b-2507/20260426_190623_airline_llm_agent_gpt-5-mini_user_simulator_qwen3-235b-a22b-2507,21,11,3,11,0,11,1.0,0.0,1.0,,en_1.000,"{""en"":1.0}"
english,En Baseline,airline,english,EN,en,en,gpt-5-mini,gpt-5-mini,gpt-5-mini,data/simulations/english/20260426_190623_airline_llm_agent_gpt-5-mini_user_simulator_qwen3-235b-a22b-2507/20260426_190623_airline_llm_agent_gpt-5-mini_user_simulator_qwen3-235b-a22b-2507,22,14,3,14,0,14,1.0,0.0,1.0,,en_1.000,"{""en"":1.0}"
