setting,language,domain,agent_critical_error,agent_minor_error,agent_correct,user_critical_error,user_minor_error,user_correct,agent_hallucination,agent_incorrect_interpretation,agent_guideline_violation,agent_revealed_info_early,agent_inconsistent_behavior,agent_tool_call_schema_error,agent_tool_call_argument_error,agent_irrelevant_tool_call,agent_premature_termination,agent_missed_required_action,agent_wrong_sequence,agent_interruption_error,agent_other,user_hallucination,user_incorrect_interpretation,user_guideline_violation,user_revealed_info_early,user_inconsistent_behavior,user_tool_call_schema_error,user_tool_call_argument_error,user_irrelevant_tool_call,user_premature_termination,user_missed_required_action,user_wrong_sequence,user_interruption_error,user_other
L2 Tool,Vietnamese,Airline,81,23,46,43,51,56,crit:0 / min:4,crit:25 / min:29,crit:82 / min:19,crit:3 / min:1,crit:12 / min:5,crit:0 / min:0,crit:2 / min:6,crit:4 / min:0,crit:22 / min:1,crit:79 / min:22,crit:12 / min:6,crit:0 / min:0,crit:0 / min:2,crit:39 / min:28,crit:2 / min:11,crit:19 / min:36,crit:0 / min:2,crit:15 / min:45,crit:0 / min:0,crit:0 / min:0,crit:0 / min:0,crit:4 / min:7,crit:1 / min:1,crit:0 / min:0,crit:0 / min:0,crit:0 / min:0
L2 Tool,Chinese,Airline,84,23,43,35,44,71,crit:2 / min:4,crit:42 / min:31,crit:92 / min:26,crit:0 / min:0,crit:5 / min:10,crit:2 / min:0,crit:1 / min:0,crit:0 / min:2,crit:23 / min:3,crit:75 / min:27,crit:12 / min:6,crit:0 / min:0,crit:0 / min:0,crit:32 / min:28,crit:1 / min:6,crit:14 / min:25,crit:1 / min:1,crit:14 / min:37,crit:0 / min:0,crit:0 / min:0,crit:0 / min:0,crit:7 / min:10,crit:1 / min:0,crit:0 / min:1,crit:0 / min:0,crit:1 / min:0
L2 Tool,Indonesian,Retail,94,86,162,92,130,120,crit:3 / min:11,crit:28 / min:39,crit:69 / min:69,crit:1 / min:5,crit:7 / min:17,crit:1 / min:8,crit:8 / min:9,crit:0 / min:0,crit:8 / min:3,crit:74 / min:64,crit:18 / min:18,crit:0 / min:0,crit:0 / min:4,crit:61 / min:132,crit:4 / min:8,crit:41 / min:43,crit:3 / min:0,crit:27 / min:86,crit:0 / min:0,crit:0 / min:0,crit:0 / min:0,crit:15 / min:14,crit:0 / min:4,crit:0 / min:0,crit:0 / min:0,crit:0 / min:2
L2 Tool,"English, Thai",Retail,81,81,180,58,132,152,crit:11 / min:10,crit:22 / min:33,crit:49 / min:55,crit:0 / min:4,crit:10 / min:15,crit:1 / min:2,crit:5 / min:14,crit:0 / min:1,crit:12 / min:4,crit:58 / min:56,crit:14 / min:14,crit:0 / min:0,crit:1 / min:2,crit:53 / min:123,crit:7 / min:12,crit:17 / min:37,crit:1 / min:1,crit:14 / min:66,crit:0 / min:0,crit:0 / min:0,crit:0 / min:0,crit:6 / min:14,crit:0 / min:0,crit:0 / min:1,crit:0 / min:0,crit:1 / min:5
L2 Tool,"English, Thai, Vietnamese",Retail,100,69,173,88,123,131,crit:11 / min:12,crit:29 / min:32,crit:67 / min:48,crit:3 / min:1,crit:10 / min:13,crit:0 / min:9,crit:7 / min:4,crit:1 / min:3,crit:17 / min:2,crit:63 / min:71,crit:7 / min:10,crit:0 / min:0,crit:0 / min:4,crit:82 / min:106,crit:5 / min:12,crit:30 / min:39,crit:1 / min:1,crit:38 / min:94,crit:0 / min:0,crit:0 / min:0,crit:0 / min:0,crit:10 / min:15,crit:0 / min:6,crit:0 / min:0,crit:0 / min:0,crit:0 / min:7
L2 Tool,"English, Thai, Vietnamese, Indonesian",Retail,100,72,170,88,112,142,crit:17 / min:18,crit:38 / min:43,crit:63 / min:53,crit:0 / min:5,crit:7 / min:16,crit:4 / min:5,crit:8 / min:9,crit:0 / min:3,crit:5 / min:1,crit:73 / min:49,crit:11 / min:13,crit:0 / min:0,crit:0 / min:1,crit:69 / min:94,crit:5 / min:12,crit:23 / min:29,crit:0 / min:0,crit:31 / min:76,crit:0 / min:0,crit:0 / min:0,crit:0 / min:0,crit:17 / min:12,crit:1 / min:2,crit:0 / min:0,crit:0 / min:0,crit:0 / min:2
L2 Tool,"English, Thai, Vietnamese, Indonesian, Chinese",Retail,87,93,162,82,129,131,crit:12 / min:18,crit:27 / min:65,crit:78 / min:72,crit:1 / min:0,crit:8 / min:26,crit:2 / min:7,crit:5 / min:8,crit:1 / min:5,crit:6 / min:2,crit:59 / min:67,crit:11 / min:18,crit:0 / min:0,crit:0 / min:6,crit:64 / min:129,crit:12 / min:14,crit:27 / min:40,crit:0 / min:0,crit:21 / min:85,crit:0 / min:0,crit:0 / min:0,crit:0 / min:0,crit:11 / min:21,crit:2 / min:2,crit:0 / min:1,crit:0 / min:0,crit:0 / min:6
L2 Tool,Thai,Retail,102,79,161,70,123,149,crit:6 / min:13,crit:40 / min:47,crit:70 / min:66,crit:1 / min:2,crit:6 / min:14,crit:2 / min:6,crit:5 / min:7,crit:1 / min:5,crit:7 / min:3,crit:79 / min:66,crit:12 / min:21,crit:0 / min:0,crit:0 / min:3,crit:55 / min:90,crit:5 / min:16,crit:22 / min:34,crit:1 / min:0,crit:28 / min:86,crit:0 / min:0,crit:0 / min:0,crit:0 / min:0,crit:7 / min:15,crit:5 / min:4,crit:0 / min:0,crit:0 / min:0,crit:0 / min:4
L2 Tool,Filipino,Retail,88,79,175,79,129,134,crit:15 / min:10,crit:36 / min:34,crit:78 / min:56,crit:0 / min:0,crit:5 / min:21,crit:4 / min:5,crit:8 / min:6,crit:2 / min:2,crit:6 / min:1,crit:69 / min:69,crit:11 / min:9,crit:0 / min:0,crit:1 / min:2,crit:54 / min:123,crit:7 / min:15,crit:24 / min:47,crit:0 / min:1,crit:37 / min:92,crit:0 / min:0,crit:0 / min:0,crit:0 / min:0,crit:14 / min:17,crit:2 / min:3,crit:0 / min:0,crit:0 / min:0,crit:1 / min:3
L2 Tool,Vietnamese,Retail,97,75,170,75,130,137,crit:9 / min:11,crit:31 / min:53,crit:68 / min:52,crit:2 / min:3,crit:10 / min:15,crit:0 / min:6,crit:9 / min:7,crit:1 / min:3,crit:6 / min:3,crit:62 / min:59,crit:16 / min:14,crit:0 / min:0,crit:0 / min:3,crit:71 / min:115,crit:2 / min:10,crit:19 / min:46,crit:2 / min:2,crit:28 / min:99,crit:0 / min:0,crit:0 / min:0,crit:0 / min:0,crit:10 / min:16,crit:2 / min:1,crit:0 / min:0,crit:0 / min:0,crit:0 / min:2
L2 Tool,Chinese,Retail,95,64,183,87,121,134,crit:16 / min:7,crit:30 / min:40,crit:62 / min:55,crit:0 / min:6,crit:8 / min:10,crit:4 / min:2,crit:6 / min:3,crit:0 / min:2,crit:12 / min:3,crit:69 / min:63,crit:8 / min:13,crit:0 / min:0,crit:2 / min:1,crit:74 / min:104,crit:8 / min:16,crit:29 / min:57,crit:1 / min:2,crit:30 / min:103,crit:0 / min:0,crit:0 / min:0,crit:0 / min:0,crit:10 / min:16,crit:3 / min:4,crit:0 / min:0,crit:0 / min:0,crit:0 / min:2
L2 Tool,Indonesian,Telecom,89,108,145,48,140,154,crit:6 / min:8,crit:30 / min:80,crit:57 / min:94,crit:1 / min:3,crit:3 / min:29,crit:0 / min:0,crit:1 / min:4,crit:2 / min:27,crit:28 / min:4,crit:104 / min:133,crit:10 / min:14,crit:0 / min:0,crit:0 / min:17,crit:51 / min:78,crit:5 / min:49,crit:16 / min:74,crit:0 / min:0,crit:15 / min:180,crit:0 / min:5,crit:1 / min:9,crit:0 / min:8,crit:12 / min:20,crit:2 / min:21,crit:0 / min:6,crit:0 / min:0,crit:0 / min:12
L2 Tool,"English, Thai",Telecom,91,106,145,54,138,150,crit:4 / min:15,crit:28 / min:71,crit:80 / min:83,crit:2 / min:1,crit:8 / min:27,crit:1 / min:3,crit:3 / min:1,crit:2 / min:14,crit:36 / min:4,crit:107 / min:153,crit:8 / min:13,crit:0 / min:0,crit:0 / min:11,crit:48 / min:93,crit:4 / min:38,crit:15 / min:49,crit:1 / min:1,crit:28 / min:158,crit:0 / min:3,crit:1 / min:4,crit:0 / min:0,crit:11 / min:15,crit:3 / min:22,crit:0 / min:10,crit:0 / min:0,crit:1 / min:9
L2 Tool,"English, Thai, Vietnamese, Indonesian",Telecom,91,102,149,56,128,158,crit:4 / min:17,crit:26 / min:96,crit:70 / min:75,crit:0 / min:1,crit:3 / min:19,crit:0 / min:0,crit:0 / min:0,crit:0 / min:6,crit:33 / min:0,crit:106 / min:135,crit:7 / min:9,crit:0 / min:0,crit:0 / min:2,crit:38 / min:69,crit:4 / min:39,crit:15 / min:77,crit:0 / min:0,crit:23 / min:169,crit:0 / min:5,crit:0 / min:1,crit:0 / min:3,crit:15 / min:14,crit:4 / min:17,crit:0 / min:5,crit:0 / min:0,crit:1 / min:10
L2 Tool,"English, Thai, Vietnamese, Indonesian, Chinese",Telecom,94,101,147,43,148,151,crit:3 / min:14,crit:40 / min:80,crit:72 / min:90,crit:1 / min:4,crit:7 / min:26,crit:0 / min:0,crit:0 / min:6,crit:1 / min:20,crit:37 / min:2,crit:118 / min:118,crit:12 / min:18,crit:0 / min:0,crit:1 / min:6,crit:74 / min:83,crit:4 / min:29,crit:12 / min:56,crit:0 / min:0,crit:14 / min:184,crit:0 / min:1,crit:0 / min:1,crit:0 / min:0,crit:5 / min:16,crit:1 / min:21,crit:0 / min:2,crit:0 / min:0,crit:1 / min:10
L2 Tool,"English, Thai, Vietnamese",Telecom,95,117,130,55,144,143,crit:3 / min:14,crit:36 / min:98,crit:78 / min:81,crit:0 / min:0,crit:9 / min:29,crit:0 / min:2,crit:2 / min:3,crit:1 / min:36,crit:28 / min:4,crit:100 / min:189,crit:7 / min:16,crit:0 / min:0,crit:1 / min:27,crit:40 / min:95,crit:7 / min:35,crit:13 / min:52,crit:1 / min:1,crit:32 / min:209,crit:0 / min:1,crit:4 / min:8,crit:0 / min:1,crit:12 / min:17,crit:2 / min:8,crit:0 / min:1,crit:0 / min:0,crit:0 / min:16
L2 Tool,Thai,Telecom,87,106,149,46,147,149,crit:4 / min:11,crit:17 / min:91,crit:69 / min:77,crit:1 / min:3,crit:6 / min:25,crit:0 / min:0,crit:1 / min:3,crit:2 / min:8,crit:28 / min:1,crit:93 / min:124,crit:7 / min:13,crit:0 / min:0,crit:1 / min:14,crit:48 / min:88,crit:6 / min:36,crit:36 / min:61,crit:0 / min:1,crit:47 / min:175,crit:0 / min:6,crit:0 / min:5,crit:0 / min:1,crit:3 / min:14,crit:2 / min:30,crit:1 / min:2,crit:0 / min:0,crit:1 / min:3
L2 Tool,Filipino,Telecom,75,112,155,45,115,182,crit:2 / min:11,crit:26 / min:66,crit:49 / min:88,crit:1 / min:0,crit:7 / min:36,crit:2 / min:0,crit:1 / min:7,crit:2 / min:11,crit:23 / min:1,crit:96 / min:147,crit:9 / min:9,crit:0 / min:0,crit:5 / min:2,crit:32 / min:60,crit:4 / min:46,crit:35 / min:58,crit:0 / min:15,crit:23 / min:135,crit:0 / min:4,crit:0 / min:2,crit:0 / min:10,crit:11 / min:14,crit:9 / min:11,crit:0 / min:3,crit:0 / min:0,crit:0 / min:11
L2 Tool,Vietnamese,Telecom,103,117,122,45,156,141,crit:4 / min:18,crit:41 / min:80,crit:73 / min:90,crit:1 / min:1,crit:6 / min:29,crit:0 / min:0,crit:0 / min:2,crit:1 / min:11,crit:25 / min:1,crit:140 / min:154,crit:12 / min:15,crit:0 / min:0,crit:0 / min:5,crit:45 / min:91,crit:4 / min:30,crit:33 / min:52,crit:0 / min:1,crit:17 / min:186,crit:0 / min:3,crit:0 / min:10,crit:0 / min:1,crit:5 / min:23,crit:2 / min:11,crit:0 / min:7,crit:0 / min:0,crit:0 / min:15
L2 Tool,Chinese,Telecom,109,91,142,55,135,152,crit:2 / min:14,crit:37 / min:74,crit:77 / min:61,crit:1 / min:1,crit:3 / min:36,crit:0 / min:1,crit:1 / min:1,crit:5 / min:6,crit:28 / min:3,crit:134 / min:142,crit:10 / min:8,crit:0 / min:0,crit:2 / min:5,crit:49 / min:55,crit:6 / min:52,crit:19 / min:64,crit:0 / min:4,crit:22 / min:160,crit:0 / min:2,crit:0 / min:1,crit:0 / min:3,crit:8 / min:15,crit:5 / min:16,crit:2 / min:3,crit:0 / min:0,crit:0 / min:32
L2 Interaction,Vietnamese,Airline,93,25,32,43,48,59,crit:3 / min:6,crit:67 / min:29,crit:116 / min:38,crit:0 / min:2,crit:7 / min:11,crit:1 / min:0,crit:3 / min:1,crit:3 / min:4,crit:20 / min:1,crit:82 / min:28,crit:9 / min:7,crit:0 / min:0,crit:2 / min:4,crit:22 / min:24,crit:3 / min:8,crit:18 / min:22,crit:1 / min:0,crit:22 / min:34,crit:0 / min:0,crit:0 / min:0,crit:0 / min:0,crit:6 / min:12,crit:3 / min:1,crit:0 / min:0,crit:0 / min:0,crit:0 / min:1
L2 Interaction,Thai,Airline,105,14,31,42,45,63,crit:4 / min:8,crit:56 / min:30,crit:113 / min:23,crit:0 / min:1,crit:11 / min:9,crit:2 / min:2,crit:7 / min:6,crit:0 / min:4,crit:30 / min:2,crit:98 / min:18,crit:8 / min:3,crit:0 / min:0,crit:0 / min:0,crit:31 / min:24,crit:2 / min:9,crit:19 / min:25,crit:0 / min:2,crit:15 / min:28,crit:0 / min:0,crit:0 / min:0,crit:0 / min:0,crit:12 / min:15,crit:2 / min:0,crit:0 / min:0,crit:0 / min:0,crit:0 / min:0
L2 Interaction,Indonesian,Airline,88,18,44,36,49,65,crit:6 / min:5,crit:47 / min:33,crit:89 / min:31,crit:1 / min:0,crit:6 / min:15,crit:0 / min:2,crit:4 / min:6,crit:0 / min:4,crit:21 / min:1,crit:74 / min:15,crit:3 / min:4,crit:0 / min:0,crit:0 / min:1,crit:19 / min:37,crit:2 / min:4,crit:15 / min:30,crit:0 / min:0,crit:17 / min:42,crit:0 / min:0,crit:0 / min:0,crit:0 / min:0,crit:11 / min:9,crit:0 / min:1,crit:0 / min:1,crit:0 / min:0,crit:0 / min:0
L2 Interaction,Chinese,Airline,90,18,42,44,51,55,crit:9 / min:1,crit:46 / min:38,crit:85 / min:27,crit:1 / min:0,crit:5 / min:7,crit:0 / min:1,crit:3 / min:7,crit:0 / min:2,crit:18 / min:0,crit:85 / min:20,crit:11 / min:4,crit:0 / min:0,crit:1 / min:3,crit:23 / min:31,crit:3 / min:9,crit:28 / min:23,crit:0 / min:1,crit:25 / min:35,crit:0 / min:0,crit:0 / min:0,crit:0 / min:0,crit:11 / min:18,crit:1 / min:2,crit:0 / min:0,crit:0 / min:0,crit:0 / min:2
L2 Interaction,Filipino,Airline,94,18,38,53,36,61,crit:8 / min:5,crit:46 / min:36,crit:110 / min:28,crit:2 / min:2,crit:5 / min:3,crit:0 / min:4,crit:1 / min:4,crit:0 / min:0,crit:25 / min:1,crit:90 / min:25,crit:7 / min:3,crit:0 / min:0,crit:0 / min:0,crit:39 / min:23,crit:11 / min:7,crit:26 / min:31,crit:0 / min:2,crit:25 / min:31,crit:0 / min:0,crit:0 / min:0,crit:0 / min:0,crit:8 / min:10,crit:2 / min:1,crit:0 / min:0,crit:0 / min:0,crit:1 / min:0
L2 Interaction,Vietnamese,Retail,109,78,155,96,103,143,crit:9 / min:12,crit:32 / min:54,crit:99 / min:80,crit:1 / min:5,crit:17 / min:24,crit:3 / min:5,crit:7 / min:9,crit:1 / min:3,crit:5 / min:2,crit:78 / min:62,crit:24 / min:24,crit:0 / min:0,crit:0 / min:3,crit:87 / min:91,crit:15 / min:8,crit:32 / min:51,crit:0 / min:0,crit:38 / min:85,crit:0 / min:0,crit:0 / min:0,crit:0 / min:0,crit:11 / min:17,crit:1 / min:1,crit:0 / min:0,crit:0 / min:0,crit:2 / min:3
L2 Interaction,Thai,Retail,125,73,144,94,124,124,crit:15 / min:13,crit:42 / min:59,crit:105 / min:81,crit:4 / min:4,crit:13 / min:24,crit:4 / min:6,crit:7 / min:18,crit:1 / min:4,crit:7 / min:2,crit:95 / min:51,crit:20 / min:17,crit:0 / min:0,crit:1 / min:7,crit:71 / min:82,crit:9 / min:10,crit:41 / min:72,crit:2 / min:0,crit:40 / min:101,crit:0 / min:0,crit:0 / min:0,crit:0 / min:0,crit:17 / min:18,crit:2 / min:4,crit:0 / min:0,crit:0 / min:0,crit:2 / min:10
L2 Interaction,Indonesian,Retail,117,65,160,86,121,135,crit:17 / min:17,crit:38 / min:54,crit:88 / min:83,crit:4 / min:2,crit:8 / min:15,crit:1 / min:5,crit:8 / min:6,crit:5 / min:5,crit:11 / min:0,crit:88 / min:55,crit:19 / min:20,crit:0 / min:0,crit:2 / min:1,crit:59 / min:92,crit:6 / min:8,crit:28 / min:36,crit:0 / min:0,crit:38 / min:96,crit:0 / min:0,crit:0 / min:0,crit:0 / min:0,crit:12 / min:19,crit:4 / min:2,crit:0 / min:0,crit:0 / min:0,crit:1 / min:1
L2 Interaction,Chinese,Retail,109,73,160,81,126,135,crit:13 / min:11,crit:26 / min:44,crit:71 / min:59,crit:1 / min:2,crit:8 / min:28,crit:0 / min:4,crit:9 / min:10,crit:0 / min:5,crit:5 / min:7,crit:93 / min:53,crit:19 / min:16,crit:0 / min:0,crit:0 / min:3,crit:55 / min:86,crit:1 / min:13,crit:38 / min:42,crit:0 / min:0,crit:32 / min:81,crit:0 / min:0,crit:0 / min:0,crit:0 / min:0,crit:16 / min:22,crit:3 / min:1,crit:0 / min:0,crit:0 / min:0,crit:0 / min:8
L2 Interaction,Filipino,Retail,103,88,151,105,129,108,crit:10 / min:10,crit:37 / min:39,crit:86 / min:94,crit:2 / min:3,crit:8 / min:16,crit:4 / min:9,crit:5 / min:3,crit:0 / min:2,crit:9 / min:5,crit:94 / min:63,crit:23 / min:15,crit:0 / min:0,crit:0 / min:3,crit:95 / min:108,crit:10 / min:7,crit:31 / min:56,crit:0 / min:0,crit:44 / min:101,crit:0 / min:0,crit:0 / min:0,crit:0 / min:0,crit:10 / min:15,crit:3 / min:3,crit:0 / min:0,crit:0 / min:0,crit:1 / min:1
L2 Interaction,Vietnamese,Telecom,101,116,125,52,146,144,crit:6 / min:16,crit:38 / min:84,crit:77 / min:128,crit:2 / min:2,crit:15 / min:49,crit:1 / min:3,crit:6 / min:7,crit:4 / min:36,crit:25 / min:6,crit:106 / min:132,crit:13 / min:24,crit:0 / min:0,crit:1 / min:6,crit:34 / min:96,crit:6 / min:30,crit:10 / min:93,crit:0 / min:0,crit:19 / min:207,crit:5 / min:6,crit:2 / min:7,crit:0 / min:1,crit:9 / min:24,crit:3 / min:9,crit:0 / min:0,crit:0 / min:0,crit:1 / min:9
L2 Interaction,Thai,Telecom,125,90,127,59,133,150,crit:7 / min:15,crit:47 / min:100,crit:99 / min:105,crit:2 / min:2,crit:16 / min:29,crit:0 / min:6,crit:4 / min:19,crit:7 / min:24,crit:36 / min:4,crit:142 / min:118,crit:7 / min:27,crit:0 / min:0,crit:0 / min:10,crit:47 / min:67,crit:2 / min:36,crit:30 / min:77,crit:0 / min:2,crit:26 / min:186,crit:0 / min:0,crit:0 / min:2,crit:0 / min:1,crit:12 / min:20,crit:6 / min:16,crit:0 / min:11,crit:0 / min:0,crit:0 / min:13
L2 Interaction,Indonesian,Telecom,122,100,120,60,136,146,crit:6 / min:14,crit:43 / min:100,crit:103 / min:116,crit:0 / min:1,crit:12 / min:40,crit:0 / min:1,crit:0 / min:4,crit:5 / min:19,crit:28 / min:2,crit:138 / min:132,crit:10 / min:16,crit:0 / min:0,crit:1 / min:8,crit:68 / min:74,crit:8 / min:49,crit:30 / min:53,crit:0 / min:1,crit:33 / min:139,crit:0 / min:2,crit:2 / min:1,crit:0 / min:4,crit:10 / min:18,crit:1 / min:22,crit:4 / min:6,crit:0 / min:0,crit:1 / min:9
L2 Interaction,Chinese,Telecom,95,76,171,60,129,153,crit:3 / min:5,crit:36 / min:53,crit:71 / min:46,crit:1 / min:1,crit:4 / min:20,crit:1 / min:0,crit:1 / min:3,crit:1 / min:6,crit:23 / min:2,crit:109 / min:107,crit:12 / min:7,crit:0 / min:0,crit:1 / min:3,crit:62 / min:85,crit:7 / min:38,crit:30 / min:82,crit:1 / min:3,crit:40 / min:197,crit:0 / min:8,crit:1 / min:0,crit:0 / min:0,crit:14 / min:21,crit:3 / min:12,crit:2 / min:5,crit:0 / min:0,crit:0 / min:28
L2 Interaction,Filipino,Telecom,91,88,163,62,141,139,crit:4 / min:11,crit:29 / min:60,crit:61 / min:68,crit:0 / min:0,crit:6 / min:32,crit:1 / min:2,crit:1 / min:4,crit:3 / min:18,crit:18 / min:1,crit:107 / min:97,crit:5 / min:8,crit:0 / min:0,crit:1 / min:8,crit:29 / min:68,crit:3 / min:31,crit:54 / min:105,crit:0 / min:3,crit:52 / min:194,crit:0 / min:8,crit:1 / min:2,crit:0 / min:0,crit:17 / min:16,crit:2 / min:29,crit:0 / min:4,crit:0 / min:0,crit:0 / min:15
