setting,language,domain,role,category,severity,count,turns,total_sims
English Baseline,English,retail,user,premature_termination,critical,9,1445,342
English Baseline,English,retail,user,premature_termination,benign,19,1445,342
English Baseline,English,retail,user,inconsistent_behavior,critical,22,1445,342
English Baseline,English,retail,user,inconsistent_behavior,benign,93,1445,342
English Baseline,English,retail,user,hallucination,critical,69,1445,342
English Baseline,English,retail,user,hallucination,benign,105,1445,342
English Baseline,English,retail,user,wrong_sequence,critical,0,1445,342
English Baseline,English,retail,user,wrong_sequence,benign,0,1445,342
English Baseline,English,retail,user,tool_call_argument_error,critical,0,1445,342
English Baseline,English,retail,user,tool_call_argument_error,benign,0,1445,342
English Baseline,English,retail,user,irrelevant_tool_call,critical,0,1445,342
English Baseline,English,retail,user,irrelevant_tool_call,benign,0,1445,342
English Baseline,English,retail,user,tool_call_schema_error,critical,0,1445,342
English Baseline,English,retail,user,tool_call_schema_error,benign,0,1445,342
English Baseline,English,retail,user,revealed_info_early,critical,0,1445,342
English Baseline,English,retail,user,revealed_info_early,benign,1,1445,342
English Baseline,English,retail,user,other,critical,0,1445,342
English Baseline,English,retail,user,other,benign,4,1445,342
English Baseline,English,retail,user,interruption_error,critical,0,1445,342
English Baseline,English,retail,user,interruption_error,benign,0,1445,342
English Baseline,English,airline,agent,outcome,critical,81,652,150
English Baseline,English,airline,agent,outcome,benign,22,652,150
English Baseline,English,airline,agent,outcome,correct,47,652,150
English Baseline,English,airline,agent,guideline_violation,critical,100,652,150
English Baseline,English,airline,agent,guideline_violation,benign,20,652,150
English Baseline,English,airline,agent,missed_required_action,critical,71,652,150
English Baseline,English,airline,agent,missed_required_action,benign,16,652,150
English Baseline,English,airline,agent,incorrect_interpretation,critical,33,652,150
English Baseline,English,airline,agent,incorrect_interpretation,benign,25,652,150
English Baseline,English,airline,agent,premature_termination,critical,28,652,150
English Baseline,English,airline,agent,premature_termination,benign,1,652,150
English Baseline,English,airline,agent,inconsistent_behavior,critical,4,652,150
English Baseline,English,airline,agent,inconsistent_behavior,benign,8,652,150
English Baseline,English,airline,agent,hallucination,critical,6,652,150
English Baseline,English,airline,agent,hallucination,benign,7,652,150
English Baseline,English,airline,agent,wrong_sequence,critical,9,652,150
English Baseline,English,airline,agent,wrong_sequence,benign,3,652,150
English Baseline,English,airline,agent,tool_call_argument_error,critical,5,652,150
English Baseline,English,airline,agent,tool_call_argument_error,benign,4,652,150
English Baseline,English,airline,agent,irrelevant_tool_call,critical,0,652,150
English Baseline,English,airline,agent,irrelevant_tool_call,benign,0,652,150
English Baseline,English,airline,agent,tool_call_schema_error,critical,0,652,150
English Baseline,English,airline,agent,tool_call_schema_error,benign,0,652,150
English Baseline,English,airline,agent,revealed_info_early,critical,0,652,150
English Baseline,English,airline,agent,revealed_info_early,benign,1,652,150
English Baseline,English,airline,agent,other,critical,0,652,150
English Baseline,English,airline,agent,other,benign,1,652,150
English Baseline,English,airline,agent,interruption_error,critical,0,652,150
English Baseline,English,airline,agent,interruption_error,benign,0,652,150
English Baseline,English,airline,user,outcome,critical,38,494,150
English Baseline,English,airline,user,outcome,benign,48,494,150
English Baseline,English,airline,user,outcome,correct,64,494,150
English Baseline,English,airline,user,guideline_violation,critical,13,494,150
English Baseline,English,airline,user,guideline_violation,benign,26,494,150
English Baseline,English,airline,user,missed_required_action,critical,0,494,150
English Baseline,English,airline,user,missed_required_action,benign,1,494,150
English Baseline,English,airline,user,incorrect_interpretation,critical,4,494,150
English Baseline,English,airline,user,incorrect_interpretation,benign,7,494,150
English Baseline,English,airline,user,premature_termination,critical,9,494,150
English Baseline,English,airline,user,premature_termination,benign,10,494,150
English Baseline,English,airline,user,inconsistent_behavior,critical,15,494,150
English Baseline,English,airline,user,inconsistent_behavior,benign,34,494,150
English Baseline,English,airline,user,hallucination,critical,26,494,150
English Baseline,English,airline,user,hallucination,benign,27,494,150
English Baseline,English,airline,user,wrong_sequence,critical,0,494,150
English Baseline,English,airline,user,wrong_sequence,benign,0,494,150
English Baseline,English,airline,user,tool_call_argument_error,critical,0,494,150
English Baseline,English,airline,user,tool_call_argument_error,benign,0,494,150
English Baseline,English,airline,user,irrelevant_tool_call,critical,0,494,150
English Baseline,English,airline,user,irrelevant_tool_call,benign,0,494,150
English Baseline,English,airline,user,tool_call_schema_error,critical,0,494,150
English Baseline,English,airline,user,tool_call_schema_error,benign,0,494,150
English Baseline,English,airline,user,revealed_info_early,critical,0,494,150
English Baseline,English,airline,user,revealed_info_early,benign,2,494,150
English Baseline,English,airline,user,other,critical,0,494,150
English Baseline,English,airline,user,other,benign,1,494,150
English Baseline,English,airline,user,interruption_error,critical,0,494,150
English Baseline,English,airline,user,interruption_error,benign,0,494,150
L2 Tool,Indonesian,airline,agent,outcome,critical,94,678,150
L2 Tool,Indonesian,airline,agent,outcome,benign,20,678,150
L2 Tool,Indonesian,airline,agent,outcome,correct,36,678,150
L2 Tool,Indonesian,airline,agent,guideline_violation,critical,87,678,150
L2 Tool,Indonesian,airline,agent,guideline_violation,benign,32,678,150
L2 Tool,Indonesian,airline,agent,missed_required_action,critical,78,678,150
L2 Tool,Indonesian,airline,agent,missed_required_action,benign,17,678,150
L2 Tool,Indonesian,airline,agent,incorrect_interpretation,critical,33,678,150
L2 Tool,Indonesian,airline,agent,incorrect_interpretation,benign,40,678,150
L2 Tool,Indonesian,airline,agent,premature_termination,critical,19,678,150
L2 Tool,Indonesian,airline,agent,premature_termination,benign,1,678,150
L2 Tool,Indonesian,airline,agent,inconsistent_behavior,critical,5,678,150
L2 Tool,Indonesian,airline,agent,inconsistent_behavior,benign,6,678,150
L2 Tool,Indonesian,airline,agent,hallucination,critical,5,678,150
L2 Tool,Indonesian,airline,agent,hallucination,benign,6,678,150
L2 Tool,Indonesian,airline,agent,wrong_sequence,critical,5,678,150
L2 Tool,Indonesian,airline,agent,wrong_sequence,benign,3,678,150
L2 Tool,Indonesian,airline,agent,tool_call_argument_error,critical,1,678,150
L2 Tool,Indonesian,airline,agent,tool_call_argument_error,benign,4,678,150
L2 Tool,Indonesian,airline,agent,irrelevant_tool_call,critical,0,678,150
L2 Tool,Indonesian,airline,agent,irrelevant_tool_call,benign,0,678,150
L2 Tool,Indonesian,airline,agent,tool_call_schema_error,critical,0,678,150
L2 Tool,Indonesian,airline,agent,tool_call_schema_error,benign,0,678,150
L2 Tool,Indonesian,airline,agent,revealed_info_early,critical,0,678,150
L2 Tool,Indonesian,airline,agent,revealed_info_early,benign,0,678,150
L2 Tool,Indonesian,airline,agent,other,critical,2,678,150
L2 Tool,Indonesian,airline,agent,other,benign,1,678,150
L2 Tool,Indonesian,airline,agent,interruption_error,critical,0,678,150
L2 Tool,Indonesian,airline,agent,interruption_error,benign,0,678,150
L2 Tool,Indonesian,airline,user,outcome,critical,41,527,150
L2 Tool,Indonesian,airline,user,outcome,benign,41,527,150
L2 Tool,Indonesian,airline,user,outcome,correct,68,527,150
L2 Tool,Indonesian,airline,user,guideline_violation,critical,16,527,150
L2 Tool,Indonesian,airline,user,guideline_violation,benign,13,527,150
L2 Tool,Indonesian,airline,user,missed_required_action,critical,3,527,150
L2 Tool,Indonesian,airline,user,missed_required_action,benign,1,527,150
L2 Tool,Indonesian,airline,user,incorrect_interpretation,critical,3,527,150
L2 Tool,Indonesian,airline,user,incorrect_interpretation,benign,5,527,150
L2 Tool,Indonesian,airline,user,premature_termination,critical,10,527,150
L2 Tool,Indonesian,airline,user,premature_termination,benign,16,527,150
L2 Tool,Indonesian,airline,user,inconsistent_behavior,critical,13,527,150
L2 Tool,Indonesian,airline,user,inconsistent_behavior,benign,40,527,150
L2 Tool,Indonesian,airline,user,hallucination,critical,25,527,150
L2 Tool,Indonesian,airline,user,hallucination,benign,21,527,150
L2 Tool,Indonesian,airline,user,wrong_sequence,critical,0,527,150
L2 Tool,Indonesian,airline,user,wrong_sequence,benign,0,527,150
L2 Tool,Indonesian,airline,user,tool_call_argument_error,critical,0,527,150
L2 Tool,Indonesian,airline,user,tool_call_argument_error,benign,0,527,150
L2 Tool,Indonesian,airline,user,irrelevant_tool_call,critical,0,527,150
L2 Tool,Indonesian,airline,user,irrelevant_tool_call,benign,0,527,150
L2 Tool,Indonesian,airline,user,tool_call_schema_error,critical,0,527,150
L2 Tool,Indonesian,airline,user,tool_call_schema_error,benign,0,527,150
L2 Tool,Indonesian,airline,user,revealed_info_early,critical,0,527,150
L2 Tool,Indonesian,airline,user,revealed_info_early,benign,0,527,150
L2 Tool,Indonesian,airline,user,other,critical,0,527,150
L2 Tool,Indonesian,airline,user,other,benign,0,527,150
L2 Tool,Indonesian,airline,user,interruption_error,critical,0,527,150
L2 Tool,Indonesian,airline,user,interruption_error,benign,0,527,150
L2 Tool,Thai,airline,agent,outcome,critical,88,684,150
L2 Tool,Thai,airline,agent,outcome,benign,28,684,150
L2 Tool,Thai,airline,agent,outcome,correct,34,684,150
L2 Tool,Thai,airline,agent,guideline_violation,critical,105,684,150
L2 Tool,Thai,airline,agent,guideline_violation,benign,30,684,150
L2 Tool,Thai,airline,agent,missed_required_action,critical,75,684,150
L2 Tool,Thai,airline,agent,missed_required_action,benign,22,684,150
L2 Tool,Thai,airline,agent,incorrect_interpretation,critical,46,684,150
L2 Tool,Thai,airline,agent,incorrect_interpretation,benign,35,684,150
L2 Tool,Thai,airline,agent,premature_termination,critical,21,684,150
L2 Tool,Thai,airline,agent,premature_termination,benign,4,684,150
L2 Tool,Thai,airline,agent,inconsistent_behavior,critical,11,684,150
L2 Tool,Thai,airline,agent,inconsistent_behavior,benign,3,684,150
L2 Tool,Thai,airline,agent,hallucination,critical,5,684,150
L2 Tool,Thai,airline,agent,hallucination,benign,2,684,150
L2 Tool,Thai,airline,agent,wrong_sequence,critical,3,684,150
L2 Tool,Thai,airline,agent,wrong_sequence,benign,3,684,150
L2 Tool,Thai,airline,agent,tool_call_argument_error,critical,2,684,150
L2 Tool,Thai,airline,agent,tool_call_argument_error,benign,6,684,150
L2 Tool,Thai,airline,agent,irrelevant_tool_call,critical,0,684,150
L2 Tool,Thai,airline,agent,irrelevant_tool_call,benign,1,684,150
L2 Tool,Thai,airline,agent,tool_call_schema_error,critical,0,684,150
L2 Tool,Thai,airline,agent,tool_call_schema_error,benign,1,684,150
L2 Tool,Thai,airline,agent,revealed_info_early,critical,1,684,150
L2 Tool,Thai,airline,agent,revealed_info_early,benign,1,684,150
L2 Tool,Thai,airline,agent,other,critical,0,684,150
L2 Tool,Thai,airline,agent,other,benign,1,684,150
L2 Tool,Thai,airline,agent,interruption_error,critical,0,684,150
L2 Tool,Thai,airline,agent,interruption_error,benign,0,684,150
L2 Tool,Thai,airline,user,outcome,critical,39,528,150
L2 Tool,Thai,airline,user,outcome,benign,45,528,150
L2 Tool,Thai,airline,user,outcome,correct,66,528,150
L2 Tool,Thai,airline,user,guideline_violation,critical,9,528,150
L2 Tool,Thai,airline,user,guideline_violation,benign,17,528,150
L2 Tool,Thai,airline,user,missed_required_action,critical,1,528,150
L2 Tool,Thai,airline,user,missed_required_action,benign,0,528,150
L2 Tool,Thai,airline,user,incorrect_interpretation,critical,3,528,150
L2 Tool,Thai,airline,user,incorrect_interpretation,benign,2,528,150
L2 Tool,Thai,airline,user,premature_termination,critical,10,528,150
L2 Tool,Thai,airline,user,premature_termination,benign,17,528,150
L2 Tool,Thai,airline,user,inconsistent_behavior,critical,19,528,150
L2 Tool,Thai,airline,user,inconsistent_behavior,benign,27,528,150
L2 Tool,Thai,airline,user,hallucination,critical,39,528,150
L2 Tool,Thai,airline,user,hallucination,benign,20,528,150
L2 Tool,Thai,airline,user,wrong_sequence,critical,0,528,150
L2 Tool,Thai,airline,user,wrong_sequence,benign,0,528,150
L2 Tool,Thai,airline,user,tool_call_argument_error,critical,0,528,150
L2 Tool,Thai,airline,user,tool_call_argument_error,benign,0,528,150
L2 Tool,Thai,airline,user,irrelevant_tool_call,critical,0,528,150
L2 Tool,Thai,airline,user,irrelevant_tool_call,benign,0,528,150
L2 Tool,Thai,airline,user,tool_call_schema_error,critical,0,528,150
L2 Tool,Thai,airline,user,tool_call_schema_error,benign,0,528,150
L2 Tool,Thai,airline,user,revealed_info_early,critical,0,528,150
L2 Tool,Thai,airline,user,revealed_info_early,benign,0,528,150
L2 Tool,Thai,airline,user,other,critical,0,528,150
L2 Tool,Thai,airline,user,other,benign,2,528,150
L2 Tool,Thai,airline,user,interruption_error,critical,0,528,150
L2 Tool,Thai,airline,user,interruption_error,benign,0,528,150
L2 Tool,Filipino,airline,agent,outcome,critical,92,675,150
L2 Tool,Filipino,airline,agent,outcome,benign,17,675,150
L2 Tool,Filipino,airline,agent,outcome,correct,41,675,150
L2 Tool,Filipino,airline,agent,guideline_violation,critical,89,675,150
L2 Tool,Filipino,airline,agent,guideline_violation,benign,21,675,150
L2 Tool,Filipino,airline,agent,missed_required_action,critical,85,675,150
L2 Tool,Filipino,airline,agent,missed_required_action,benign,22,675,150
L2 Tool,Filipino,airline,agent,incorrect_interpretation,critical,39,675,150
L2 Tool,Filipino,airline,agent,incorrect_interpretation,benign,29,675,150
L2 Tool,Filipino,airline,agent,premature_termination,critical,34,675,150
L2 Tool,Filipino,airline,agent,premature_termination,benign,1,675,150
L2 Tool,Filipino,airline,agent,inconsistent_behavior,critical,3,675,150
L2 Tool,Filipino,airline,agent,inconsistent_behavior,benign,5,675,150
L2 Tool,Filipino,airline,agent,hallucination,critical,6,675,150
L2 Tool,Filipino,airline,agent,hallucination,benign,5,675,150
L2 Tool,Filipino,airline,agent,wrong_sequence,critical,5,675,150
L2 Tool,Filipino,airline,agent,wrong_sequence,benign,2,675,150
L2 Tool,Filipino,airline,agent,tool_call_argument_error,critical,5,675,150
L2 Tool,Filipino,airline,agent,tool_call_argument_error,benign,0,675,150
L2 Tool,Filipino,airline,agent,irrelevant_tool_call,critical,0,675,150
L2 Tool,Filipino,airline,agent,irrelevant_tool_call,benign,1,675,150
L2 Tool,Filipino,airline,agent,tool_call_schema_error,critical,0,675,150
L2 Tool,Filipino,airline,agent,tool_call_schema_error,benign,0,675,150
L2 Tool,Filipino,airline,agent,revealed_info_early,critical,1,675,150
L2 Tool,Filipino,airline,agent,revealed_info_early,benign,1,675,150
L2 Tool,Filipino,airline,agent,other,critical,0,675,150
L2 Tool,Filipino,airline,agent,other,benign,0,675,150
L2 Tool,Filipino,airline,agent,interruption_error,critical,0,675,150
L2 Tool,Filipino,airline,agent,interruption_error,benign,0,675,150
L2 Tool,Filipino,airline,user,outcome,critical,45,518,150
L2 Tool,Filipino,airline,user,outcome,benign,45,518,150
L2 Tool,Filipino,airline,user,outcome,correct,60,518,150
L2 Tool,Filipino,airline,user,guideline_violation,critical,22,518,150
L2 Tool,Filipino,airline,user,guideline_violation,benign,18,518,150
L2 Tool,Filipino,airline,user,missed_required_action,critical,1,518,150
L2 Tool,Filipino,airline,user,missed_required_action,benign,2,518,150
L2 Tool,Filipino,airline,user,incorrect_interpretation,critical,1,518,150
L2 Tool,Filipino,airline,user,incorrect_interpretation,benign,4,518,150
L2 Tool,Filipino,airline,user,premature_termination,critical,9,518,150
L2 Tool,Filipino,airline,user,premature_termination,benign,15,518,150
L2 Tool,Filipino,airline,user,inconsistent_behavior,critical,24,518,150
L2 Tool,Filipino,airline,user,inconsistent_behavior,benign,33,518,150
L2 Tool,Filipino,airline,user,hallucination,critical,35,518,150
L2 Tool,Filipino,airline,user,hallucination,benign,29,518,150
L2 Tool,Filipino,airline,user,wrong_sequence,critical,0,518,150
L2 Tool,Filipino,airline,user,wrong_sequence,benign,1,518,150
L2 Tool,Filipino,airline,user,tool_call_argument_error,critical,0,518,150
L2 Tool,Filipino,airline,user,tool_call_argument_error,benign,0,518,150
L2 Tool,Filipino,airline,user,irrelevant_tool_call,critical,0,518,150
L2 Tool,Filipino,airline,user,irrelevant_tool_call,benign,0,518,150
L2 Tool,Filipino,airline,user,tool_call_schema_error,critical,0,518,150
L2 Tool,Filipino,airline,user,tool_call_schema_error,benign,0,518,150
L2 Tool,Filipino,airline,user,revealed_info_early,critical,0,518,150
L2 Tool,Filipino,airline,user,revealed_info_early,benign,1,518,150
L2 Tool,Filipino,airline,user,other,critical,0,518,150
L2 Tool,Filipino,airline,user,other,benign,1,518,150
L2 Tool,Filipino,airline,user,interruption_error,critical,0,518,150
L2 Tool,Filipino,airline,user,interruption_error,benign,0,518,150
L2 Tool,Vietnamese,airline,agent,outcome,critical,81,697,150
L2 Tool,Vietnamese,airline,agent,outcome,benign,23,697,150
L2 Tool,Vietnamese,airline,agent,outcome,correct,46,697,150
L2 Tool,Vietnamese,airline,agent,guideline_violation,critical,82,697,150
L2 Tool,Vietnamese,airline,agent,guideline_violation,benign,19,697,150
L2 Tool,Vietnamese,airline,agent,missed_required_action,critical,79,697,150
L2 Tool,Vietnamese,airline,agent,missed_required_action,benign,22,697,150
L2 Tool,Vietnamese,airline,agent,incorrect_interpretation,critical,25,697,150
L2 Tool,Vietnamese,airline,agent,incorrect_interpretation,benign,29,697,150
L2 Tool,Vietnamese,airline,agent,premature_termination,critical,22,697,150
L2 Tool,Vietnamese,airline,agent,premature_termination,benign,1,697,150
L2 Tool,Vietnamese,airline,agent,inconsistent_behavior,critical,12,697,150
L2 Tool,Vietnamese,airline,agent,inconsistent_behavior,benign,5,697,150
L2 Tool,Vietnamese,airline,agent,hallucination,critical,0,697,150
L2 Tool,Vietnamese,airline,agent,hallucination,benign,4,697,150
L2 Tool,Vietnamese,airline,agent,wrong_sequence,critical,12,697,150
L2 Tool,Vietnamese,airline,agent,wrong_sequence,benign,6,697,150
L2 Tool,Vietnamese,airline,agent,tool_call_argument_error,critical,2,697,150
L2 Tool,Vietnamese,airline,agent,tool_call_argument_error,benign,6,697,150
L2 Tool,Vietnamese,airline,agent,irrelevant_tool_call,critical,4,697,150
L2 Tool,Vietnamese,airline,agent,irrelevant_tool_call,benign,0,697,150
L2 Tool,Vietnamese,airline,agent,tool_call_schema_error,critical,0,697,150
L2 Tool,Vietnamese,airline,agent,tool_call_schema_error,benign,0,697,150
L2 Tool,Vietnamese,airline,agent,revealed_info_early,critical,3,697,150
L2 Tool,Vietnamese,airline,agent,revealed_info_early,benign,1,697,150
L2 Tool,Vietnamese,airline,agent,other,critical,0,697,150
L2 Tool,Vietnamese,airline,agent,other,benign,2,697,150
L2 Tool,Vietnamese,airline,agent,interruption_error,critical,0,697,150
L2 Tool,Vietnamese,airline,agent,interruption_error,benign,0,697,150
L2 Tool,Vietnamese,airline,user,outcome,critical,43,545,150
L2 Tool,Vietnamese,airline,user,outcome,benign,51,545,150
L2 Tool,Vietnamese,airline,user,outcome,correct,56,545,150
L2 Tool,Vietnamese,airline,user,guideline_violation,critical,19,545,150
L2 Tool,Vietnamese,airline,user,guideline_violation,benign,36,545,150
L2 Tool,Vietnamese,airline,user,missed_required_action,critical,1,545,150
L2 Tool,Vietnamese,airline,user,missed_required_action,benign,1,545,150
L2 Tool,Vietnamese,airline,user,incorrect_interpretation,critical,2,545,150
L2 Tool,Vietnamese,airline,user,incorrect_interpretation,benign,11,545,150
L2 Tool,Vietnamese,airline,user,premature_termination,critical,4,545,150
L2 Tool,Vietnamese,airline,user,premature_termination,benign,7,545,150
L2 Tool,Vietnamese,airline,user,inconsistent_behavior,critical,15,545,150
L2 Tool,Vietnamese,airline,user,inconsistent_behavior,benign,45,545,150
L2 Tool,Vietnamese,airline,user,hallucination,critical,39,545,150
L2 Tool,Vietnamese,airline,user,hallucination,benign,28,545,150
L2 Tool,Vietnamese,airline,user,wrong_sequence,critical,0,545,150
L2 Tool,Vietnamese,airline,user,wrong_sequence,benign,0,545,150
L2 Tool,Vietnamese,airline,user,tool_call_argument_error,critical,0,545,150
L2 Tool,Vietnamese,airline,user,tool_call_argument_error,benign,0,545,150
L2 Tool,Vietnamese,airline,user,irrelevant_tool_call,critical,0,545,150
L2 Tool,Vietnamese,airline,user,irrelevant_tool_call,benign,0,545,150
L2 Tool,Vietnamese,airline,user,tool_call_schema_error,critical,0,545,150
L2 Tool,Vietnamese,airline,user,tool_call_schema_error,benign,0,545,150
L2 Tool,Vietnamese,airline,user,revealed_info_early,critical,0,545,150
L2 Tool,Vietnamese,airline,user,revealed_info_early,benign,2,545,150
L2 Tool,Vietnamese,airline,user,other,critical,0,545,150
L2 Tool,Vietnamese,airline,user,other,benign,0,545,150
L2 Tool,Vietnamese,airline,user,interruption_error,critical,0,545,150
L2 Tool,Vietnamese,airline,user,interruption_error,benign,0,545,150
L2 Tool,Chinese,airline,agent,outcome,critical,84,697,150
L2 Tool,Chinese,airline,agent,outcome,benign,23,697,150
L2 Tool,Chinese,airline,agent,outcome,correct,43,697,150
L2 Tool,Chinese,airline,agent,guideline_violation,critical,92,697,150
L2 Tool,Chinese,airline,agent,guideline_violation,benign,26,697,150
L2 Tool,Chinese,airline,agent,missed_required_action,critical,75,697,150
L2 Tool,Chinese,airline,agent,missed_required_action,benign,27,697,150
L2 Tool,Chinese,airline,agent,incorrect_interpretation,critical,42,697,150
L2 Tool,Chinese,airline,agent,incorrect_interpretation,benign,31,697,150
L2 Tool,Chinese,airline,agent,premature_termination,critical,23,697,150
L2 Tool,Chinese,airline,agent,premature_termination,benign,3,697,150
L2 Tool,Chinese,airline,agent,inconsistent_behavior,critical,5,697,150
L2 Tool,Chinese,airline,agent,inconsistent_behavior,benign,10,697,150
L2 Tool,Chinese,airline,agent,hallucination,critical,2,697,150
L2 Tool,Chinese,airline,agent,hallucination,benign,4,697,150
L2 Tool,Chinese,airline,agent,wrong_sequence,critical,12,697,150
L2 Tool,Chinese,airline,agent,wrong_sequence,benign,6,697,150
L2 Tool,Chinese,airline,agent,tool_call_argument_error,critical,1,697,150
