summary_level,language_metric,outcome_metric,n,pearson_r,r_squared,scenario,domain
domain,agent_language_correctness,pass_hat_2,51,-0.179654,0.032275,,airline
domain,agent_language_correctness,pass_hat_3,51,-0.167365,0.028011,,airline
domain,agent_language_correctness,rho_3,51,-0.067295,0.004529,,airline
domain,user_language_correctness,pass_hat_1,51,-0.115429,0.013324,,retail
domain,user_language_correctness,pass_hat_2,51,-0.144372,0.020843,,retail
domain,user_language_correctness,pass_hat_3,51,-0.176075,0.031002,,retail
domain,user_language_correctness,rho_3,51,-0.210554,0.044333,,retail
domain,agent_language_correctness,pass_hat_1,51,-0.306855,0.094160,,retail
domain,agent_language_correctness,pass_hat_2,51,-0.325934,0.106233,,retail
domain,agent_language_correctness,pass_hat_3,51,-0.343363,0.117898,,retail
domain,agent_language_correctness,rho_3,51,-0.272708,0.074370,,retail
domain,user_language_correctness,pass_hat_1,51,-0.081206,0.006594,,telecom
domain,user_language_correctness,pass_hat_2,51,-0.072136,0.005204,,telecom
domain,user_language_correctness,pass_hat_3,51,-0.066811,0.004464,,telecom
domain,user_language_correctness,rho_3,51,-0.111584,0.012451,,telecom
domain,agent_language_correctness,pass_hat_1,51,0.286696,0.082195,,telecom
domain,agent_language_correctness,pass_hat_2,51,0.242808,0.058956,,telecom
domain,agent_language_correctness,pass_hat_3,51,0.222941,0.049703,,telecom
domain,agent_language_correctness,rho_3,51,0.200212,0.040085,,telecom
scenario_domain,user_language_correctness,pass_hat_1,3,0.824626,0.680009,english,airline
scenario_domain,user_language_correctness,pass_hat_2,3,0.777714,0.604839,english,airline
scenario_domain,user_language_correctness,pass_hat_3,3,0.710742,0.505155,english,airline
scenario_domain,user_language_correctness,rho_3,3,0.659351,0.434743,english,airline
scenario_domain,agent_language_correctness,pass_hat_1,3,,,english,airline
scenario_domain,agent_language_correctness,pass_hat_2,3,,,english,airline
scenario_domain,agent_language_correctness,pass_hat_3,3,,,english,airline
scenario_domain,agent_language_correctness,rho_3,3,,,english,airline
scenario_domain,user_language_correctness,pass_hat_1,3,0.999675,0.999350,english,retail
scenario_domain,user_language_correctness,pass_hat_2,3,0.941099,0.885667,english,retail
scenario_domain,user_language_correctness,pass_hat_3,3,0.815261,0.664651,english,retail
scenario_domain,user_language_correctness,rho_3,3,-0.062295,0.003881,english,retail
scenario_domain,agent_language_correctness,pass_hat_1,3,,,english,retail
scenario_domain,agent_language_correctness,pass_hat_2,3,,,english,retail
scenario_domain,agent_language_correctness,pass_hat_3,3,,,english,retail
scenario_domain,agent_language_correctness,rho_3,3,,,english,retail
scenario_domain,user_language_correctness,pass_hat_1,3,0.005587,0.000031,english,telecom
scenario_domain,user_language_correctness,pass_hat_2,3,0.074960,0.005619,english,telecom
scenario_domain,user_language_correctness,pass_hat_3,3,0.088808,0.007887,english,telecom
scenario_domain,user_language_correctness,rho_3,3,-0.086280,0.007444,english,telecom
scenario_domain,agent_language_correctness,pass_hat_1,3,,,english,telecom
scenario_domain,agent_language_correctness,pass_hat_2,3,,,english,telecom
scenario_domain,agent_language_correctness,pass_hat_3,3,,,english,telecom
scenario_domain,agent_language_correctness,rho_3,3,,,english,telecom
scenario_domain,user_language_correctness,pass_hat_1,15,-0.125366,0.015717,l2_domain,airline
scenario_domain,user_language_correctness,pass_hat_2,15,-0.173110,0.029967,l2_domain,airline
scenario_domain,user_language_correctness,pass_hat_3,15,-0.179228,0.032123,l2_domain,airline
scenario_domain,user_language_correctness,rho_3,15,-0.033432,0.001118,l2_domain,airline
scenario_domain,agent_language_correctness,pass_hat_1,15,-0.208031,0.043277,l2_domain,airline
scenario_domain,agent_language_correctness,pass_hat_2,15,-0.409520,0.167707,l2_domain,airline
scenario_domain,agent_language_correctness,pass_hat_3,15,-0.408251,0.166669,l2_domain,airline
scenario_domain,agent_language_correctness,rho_3,15,-0.156923,0.024625,l2_domain,airline
scenario_domain,user_language_correctness,pass_hat_1,15,0.010869,0.000118,l2_domain,retail
scenario_domain,user_language_correctness,pass_hat_2,15,-0.006610,0.000044,l2_domain,retail
scenario_domain,user_language_correctness,pass_hat_3,15,-0.069001,0.004761,l2_domain,retail
scenario_domain,user_language_correctness,rho_3,15,-0.206142,0.042495,l2_domain,retail
scenario_domain,agent_language_correctness,pass_hat_1,15,-0.104322,0.010883,l2_domain,retail
scenario_domain,agent_language_correctness,pass_hat_2,15,-0.124060,0.015391,l2_domain,retail
scenario_domain,agent_language_correctness,pass_hat_3,15,-0.195162,0.038088,l2_domain,retail
scenario_domain,agent_language_correctness,rho_3,15,-0.218844,0.047893,l2_domain,retail
scenario_domain,user_language_correctness,pass_hat_1,15,0.027951,0.000781,l2_domain,telecom
scenario_domain,user_language_correctness,pass_hat_2,15,0.016012,0.000256,l2_domain,telecom
scenario_domain,user_language_correctness,pass_hat_3,15,-0.002943,0.000009,l2_domain,telecom
scenario_domain,user_language_correctness,rho_3,15,-0.080142,0.006423,l2_domain,telecom
scenario_domain,agent_language_correctness,pass_hat_1,15,0.698250,0.487553,l2_domain,telecom
scenario_domain,agent_language_correctness,pass_hat_2,15,0.647171,0.418830,l2_domain,telecom
scenario_domain,agent_language_correctness,pass_hat_3,15,0.610170,0.372307,l2_domain,telecom
scenario_domain,agent_language_correctness,rho_3,15,0.487386,0.237545,l2_domain,telecom
scenario_domain,user_language_correctness,pass_hat_1,15,-0.031955,0.001021,l2_interaction,airline
scenario_domain,user_language_correctness,pass_hat_2,15,0.000716,0.000001,l2_interaction,airline
scenario_domain,user_language_correctness,pass_hat_3,15,-0.003114,0.000010,l2_interaction,airline
scenario_domain,user_language_correctness,rho_3,15,-0.052047,0.002709,l2_interaction,airline
scenario_domain,agent_language_correctness,pass_hat_1,15,0.082838,0.006862,l2_interaction,airline
scenario_domain,agent_language_correctness,pass_hat_2,15,0.160567,0.025782,l2_interaction,airline
scenario_domain,agent_language_correctness,pass_hat_3,15,0.177981,0.031677,l2_interaction,airline
scenario_domain,agent_language_correctness,rho_3,15,0.169565,0.028752,l2_interaction,airline
scenario_domain,user_language_correctness,pass_hat_1,15,-0.112575,0.012673,l2_interaction,retail
scenario_domain,user_language_correctness,pass_hat_2,15,-0.175979,0.030969,l2_interaction,retail
scenario_domain,user_language_correctness,pass_hat_3,15,-0.241451,0.058299,l2_interaction,retail
scenario_domain,user_language_correctness,rho_3,15,-0.388824,0.151184,l2_interaction,retail
scenario_domain,agent_language_correctness,pass_hat_1,15,0.047085,0.002217,l2_interaction,retail
scenario_domain,agent_language_correctness,pass_hat_2,15,0.075287,0.005668,l2_interaction,retail
scenario_domain,agent_language_correctness,pass_hat_3,15,0.040883,0.001671,l2_interaction,retail
scenario_domain,agent_language_correctness,rho_3,15,-0.005409,0.000029,l2_interaction,retail
scenario_domain,user_language_correctness,pass_hat_1,15,-0.087536,0.007662,l2_interaction,telecom
scenario_domain,user_language_correctness,pass_hat_2,15,-0.062632,0.003923,l2_interaction,telecom
scenario_domain,user_language_correctness,pass_hat_3,15,-0.052779,0.002786,l2_interaction,telecom
scenario_domain,user_language_correctness,rho_3,15,-0.142298,0.020249,l2_interaction,telecom
scenario_domain,agent_language_correctness,pass_hat_1,15,0.854024,0.729357,l2_interaction,telecom
scenario_domain,agent_language_correctness,pass_hat_2,15,0.837830,0.701960,l2_interaction,telecom
scenario_domain,agent_language_correctness,pass_hat_3,15,0.832019,0.692256,l2_interaction,telecom
scenario_domain,agent_language_correctness,rho_3,15,0.737348,0.543681,l2_interaction,telecom
scenario_domain,user_language_correctness,pass_hat_1,18,0.004003,0.000016,l2_tools,airline
scenario_domain,user_language_correctness,pass_hat_2,18,0.045732,0.002091,l2_tools,airline
scenario_domain,user_language_correctness,pass_hat_3,18,0.057558,0.003313,l2_tools,airline
scenario_domain,user_language_correctness,rho_3,18,0.080023,0.006404,l2_tools,airline
scenario_domain,agent_language_correctness,pass_hat_1,18,,,l2_tools,airline
scenario_domain,agent_language_correctness,pass_hat_2,18,,,l2_tools,airline
scenario_domain,agent_language_correctness,pass_hat_3,18,,,l2_tools,airline
scenario_domain,agent_language_correctness,rho_3,18,,,l2_tools,airline
scenario_domain,user_language_correctness,pass_hat_1,18,0.861380,0.741975,l2_tools,retail
scenario_domain,user_language_correctness,pass_hat_2,18,0.822154,0.675937,l2_tools,retail
scenario_domain,user_language_correctness,pass_hat_3,18,0.733367,0.537828,l2_tools,retail
scenario_domain,user_language_correctness,rho_3,18,0.284661,0.081032,l2_tools,retail
scenario_domain,agent_language_correctness,pass_hat_1,18,,,l2_tools,retail
scenario_domain,agent_language_correctness,pass_hat_2,18,,,l2_tools,retail
scenario_domain,agent_language_correctness,pass_hat_3,18,,,l2_tools,retail
scenario_domain,agent_language_correctness,rho_3,18,,,l2_tools,retail
scenario_domain,user_language_correctness,pass_hat_1,18,-0.044349,0.001967,l2_tools,telecom
scenario_domain,user_language_correctness,pass_hat_2,18,-0.000869,0.000001,l2_tools,telecom
scenario_domain,user_language_correctness,pass_hat_3,18,0.028927,0.000837,l2_tools,telecom
scenario_domain,user_language_correctness,rho_3,18,0.098123,0.009628,l2_tools,telecom
scenario_domain,agent_language_correctness,pass_hat_1,18,0.959787,0.921192,l2_tools,telecom
scenario_domain,agent_language_correctness,pass_hat_2,18,0.963275,0.927899,l2_tools,telecom
scenario_domain,agent_language_correctness,pass_hat_3,18,0.961557,0.924591,l2_tools,telecom
scenario_domain,agent_language_correctness,rho_3,18,0.940247,0.884064,l2_tools,telecom
