primary_label,failure_count,relevant_trials,total_failures,summary_level,scenario,domain,normalized_agent_llm,language_scenario,failure_pct_of_all_failures,failure_pct_of_relevant_trials,failure_label
loop_or_recovery_failure,2,2346,605,scenario,english,,,,0.003305785123966942,0.0008525149190110827,Loop/recovery
loop_or_recovery_failure,9,14998,6645,scenario,l2_tools,,,,0.0013544018058690745,0.000600080010668089,Loop/recovery
wrong_write_action,2054,6142,3078,scenario_domain,l2_tools,telecom,,,0.6673164392462638,0.3344187561055031,Wrong write action
wrong_write_action,1429,4778,2057,scenario_domain,l2_domain,telecom,,,0.6947010209042295,0.299079112599414,Wrong write action
wrong_write_action,1201,5437,3168,scenario_domain,l2_domain,retail,,,0.37910353535353536,0.22089387529887805,Wrong write action
wrong_write_action,1202,5809,2075,scenario_domain,l2_interaction,telecom,,,0.5792771084337349,0.2069202960922706,Wrong write action
wrong_write_arguments_or_state,1026,5437,3168,scenario_domain,l2_domain,retail,,,0.32386363636363635,0.18870700754092332,Wrong write args/state
wrong_write_action,166,1026,388,scenario_domain,english,retail,,,0.42783505154639173,0.1617933723196881,Wrong write action
wrong_write_arguments_or_state,988,6156,2335,scenario_domain,l2_tools,retail,,,0.42312633832976443,0.16049382716049382,Wrong write args/state
wrong_write_action,402,2689,1154,scenario_domain,l2_domain,airline,,,0.3483535528596187,0.14949795462997398,Wrong write action
wrong_write_arguments_or_state,903,6498,2265,scenario_domain,l2_interaction,retail,,,0.39867549668874175,0.13896583564173592,Wrong write args/state
wrong_write_arguments_or_state,139,1026,388,scenario_domain,english,retail,,,0.3582474226804124,0.1354775828460039,Wrong write args/state
wrong_write_arguments_or_state,827,6142,3078,scenario_domain,l2_tools,telecom,,,0.2686809616634178,0.13464669488765874,Wrong write args/state
wrong_write_arguments_or_state,341,2700,1232,scenario_domain,l2_tools,airline,,,0.2767857142857143,0.1262962962962963,Wrong write args/state
db_mismatch,325,2700,1232,scenario_domain,l2_tools,airline,,,0.2637987012987013,0.12037037037037036,DB mismatch
wrong_write_action,36,300,92,scenario_domain,english,airline,,,0.391304347826087,0.12,Wrong write action
wrong_write_arguments_or_state,337,3000,1058,scenario_domain,l2_interaction,airline,,,0.31852551984877125,0.11233333333333333,Wrong write args/state
wrong_write_arguments_or_state,298,2689,1154,scenario_domain,l2_domain,airline,,,0.2582322357019064,0.11082186686500557,Wrong write args/state
wrong_write_action,678,6156,2335,scenario_domain,l2_tools,retail,,,0.2903640256959315,0.1101364522417154,Wrong write action
wrong_write_action,704,6498,2265,scenario_domain,l2_interaction,retail,,,0.3108167770419426,0.10834102800861804,Wrong write action
wrong_write_action,290,2700,1232,scenario_domain,l2_tools,airline,,,0.2353896103896104,0.10740740740740741,Wrong write action
wrong_write_action,109,1020,125,scenario_domain,english,telecom,,,0.872,0.10686274509803921,Wrong write action
wrong_read_arguments,551,5437,3168,scenario_domain,l2_domain,retail,,,0.17392676767676768,0.10134265219790325,Wrong read args
wrong_write_action,262,3000,1058,scenario_domain,l2_interaction,airline,,,0.24763705103969755,0.08733333333333333,Wrong write action
loop_or_recovery_failure,457,5809,2075,scenario_domain,l2_interaction,telecom,,,0.2202409638554217,0.0786710277156137,Loop/recovery
wrong_write_arguments_or_state,22,300,92,scenario_domain,english,airline,,,0.2391304347826087,0.07333333333333333,Wrong write args/state
db_mismatch,216,3000,1058,scenario_domain,l2_interaction,airline,,,0.20415879017013233,0.072,DB mismatch
wrong_read_arguments,417,6498,2265,scenario_domain,l2_interaction,retail,,,0.18410596026490067,0.0641735918744229,Wrong read args
wrong_read_arguments,394,6156,2335,scenario_domain,l2_tools,retail,,,0.16873661670235546,0.06400259909031839,Wrong read args
wrong_write_arguments_or_state,297,4778,2057,scenario_domain,l2_domain,telecom,,,0.1443850267379679,0.0621598995395563,Wrong write args/state
loop_or_recovery_failure,156,2689,1154,scenario_domain,l2_domain,airline,,,0.13518197573656845,0.05801413164745258,Loop/recovery
wrong_read_arguments,54,1026,388,scenario_domain,english,retail,,,0.13917525773195877,0.05263157894736842,Wrong read args
wrong_write_arguments_or_state,287,5809,2075,scenario_domain,l2_interaction,telecom,,,0.1383132530120482,0.049406093992081256,Wrong write args/state
missing_required_read,14,300,92,scenario_domain,english,airline,,,0.15217391304347827,0.04666666666666667,Missing read
wrong_read_arguments,119,2700,1232,scenario_domain,l2_tools,airline,,,0.09659090909090909,0.04407407407407407,Wrong read args
missing_required_read,115,2700,1232,scenario_domain,l2_tools,airline,,,0.09334415584415584,0.04259259259259259,Missing read
db_mismatch,114,2689,1154,scenario_domain,l2_domain,airline,,,0.09878682842287695,0.04239494235775381,DB mismatch
loop_or_recovery_failure,196,4778,2057,scenario_domain,l2_domain,telecom,,,0.09528439474963539,0.041021347844286314,Loop/recovery
db_mismatch,11,300,92,scenario_domain,english,airline,,,0.11956521739130435,0.03666666666666667,DB mismatch
loop_or_recovery_failure,192,5437,3168,scenario_domain,l2_domain,retail,,,0.06060606060606061,0.03531359205444179,Loop/recovery
missing_required_read,90,2689,1154,scenario_domain,l2_domain,airline,,,0.0779896013864818,0.0334696913350688,Missing read
wrong_read_arguments,85,2689,1154,scenario_domain,l2_domain,airline,,,0.07365684575389948,0.03161026403867609,Wrong read args
wrong_read_arguments,94,3000,1058,scenario_domain,l2_interaction,airline,,,0.0888468809073724,0.03133333333333333,Wrong read args
missing_required_read,93,3000,1058,scenario_domain,l2_interaction,airline,,,0.08790170132325142,0.031,Missing read
db_mismatch,144,6156,2335,scenario_domain,l2_tools,retail,,,0.061670235546038545,0.023391812865497075,DB mismatch
db_mismatch,133,6498,2265,scenario_domain,l2_interaction,retail,,,0.058719646799116995,0.02046783625730994,DB mismatch
db_mismatch,93,4778,2057,scenario_domain,l2_domain,telecom,,,0.04521147301895965,0.01946421096693177,DB mismatch
premature_final_or_incomplete_resolution,55,3000,1058,scenario_domain,l2_interaction,airline,,,0.05198487712665406,0.018333333333333333,Premature/incomplete
wrong_read_arguments,5,300,92,scenario_domain,english,airline,,,0.05434782608695652,0.016666666666666666,Wrong read args
missing_required_read,86,5437,3168,scenario_domain,l2_domain,retail,,,0.027146464646464648,0.01581754644105205,Missing read
premature_final_or_incomplete_resolution,97,6142,3078,scenario_domain,l2_tools,telecom,,,0.03151397011046134,0.01579290133507001,Premature/incomplete
premature_final_or_incomplete_resolution,42,2700,1232,scenario_domain,l2_tools,airline,,,0.03409090909090909,0.015555555555555555,Premature/incomplete
db_mismatch,93,6142,3078,scenario_domain,l2_tools,telecom,,,0.030214424951267055,0.015141647671768154,DB mismatch
premature_final_or_incomplete_resolution,4,300,92,scenario_domain,english,airline,,,0.043478260869565216,0.013333333333333334,Premature/incomplete
premature_final_or_incomplete_resolution,80,6156,2335,scenario_domain,l2_tools,retail,,,0.034261241970021415,0.01299545159194282,Premature/incomplete
db_mismatch,74,5809,2075,scenario_domain,l2_interaction,telecom,,,0.03566265060240964,0.012738853503184714,DB mismatch
db_mismatch,13,1026,388,scenario_domain,english,retail,,,0.03350515463917526,0.012670565302144249,DB mismatch
missing_required_read,69,6498,2265,scenario_domain,l2_interaction,retail,,,0.030463576158940398,0.01061865189289012,Missing read
db_mismatch,56,5437,3168,scenario_domain,l2_domain,retail,,,0.017676767676767676,0.010299797682545521,DB mismatch
premature_final_or_incomplete_resolution,56,5437,3168,scenario_domain,l2_domain,retail,,,0.017676767676767676,0.010299797682545521,Premature/incomplete
wrong_write_arguments_or_state,10,1020,125,scenario_domain,english,telecom,,,0.08,0.00980392156862745,Wrong write args/state
premature_final_or_incomplete_resolution,55,5809,2075,scenario_domain,l2_interaction,telecom,,,0.02650602409638554,0.009468066792907558,Premature/incomplete
premature_final_or_incomplete_resolution,42,4778,2057,scenario_domain,l2_domain,telecom,,,0.020418084589207585,0.008790288823775638,Premature/incomplete
premature_final_or_incomplete_resolution,9,1026,388,scenario_domain,english,retail,,,0.023195876288659795,0.008771929824561403,Premature/incomplete
missing_required_read,49,6156,2335,scenario_domain,l2_tools,retail,,,0.020985010706638114,0.007959714100064977,Missing read
missing_required_read,6,1026,388,scenario_domain,english,retail,,,0.015463917525773196,0.005847953216374269,Missing read
premature_final_or_incomplete_resolution,36,6498,2265,scenario_domain,l2_interaction,retail,,,0.015894039735099338,0.00554016620498615,Premature/incomplete
db_mismatch,4,1020,125,scenario_domain,english,telecom,,,0.032,0.00392156862745098,DB mismatch
premature_final_or_incomplete_resolution,9,2689,1154,scenario_domain,l2_domain,airline,,,0.00779896013864818,0.00334696913350688,Premature/incomplete
loop_or_recovery_failure,7,6142,3078,scenario_domain,l2_tools,telecom,,,0.0022742040285899934,0.0011396939107782482,Loop/recovery
loop_or_recovery_failure,1,1020,125,scenario_domain,english,telecom,,,0.008,0.000980392156862745,Loop/recovery
premature_final_or_incomplete_resolution,1,1020,125,scenario_domain,english,telecom,,,0.008,0.000980392156862745,Premature/incomplete
loop_or_recovery_failure,1,1026,388,scenario_domain,english,retail,,,0.002577319587628866,0.0009746588693957114,Loop/recovery
loop_or_recovery_failure,3,6498,2265,scenario_domain,l2_interaction,retail,,,0.0013245033112582781,0.0004616805170821791,Loop/recovery
loop_or_recovery_failure,1,3000,1058,scenario_domain,l2_interaction,airline,,,0.000945179584120983,0.0003333333333333333,Loop/recovery
loop_or_recovery_failure,2,6156,2335,scenario_domain,l2_tools,retail,,,0.0008565310492505353,0.0003248862897985705,Loop/recovery
loop_or_recovery_failure,178,342,289,scenario_domain_model_language,l2_interaction,telecom,qwen3-235b-a22b-inst,filipino,0.615916955017301,0.52046783625731,Loop/recovery
wrong_write_action,176,342,211,scenario_domain_model_language,l2_domain,telecom,qwen3-235b-a22b-inst,vietnamese,0.8341232227488151,0.5146198830409356,Wrong write action
loop_or_recovery_failure,174,342,264,scenario_domain_model_language,l2_interaction,telecom,qwen3-235b-a22b-inst,chinese,0.6590909090909091,0.5087719298245614,Loop/recovery
wrong_write_action,163,341,195,scenario_domain_model_language,l2_domain,telecom,qwen3-235b-a22b-inst,indonesian,0.8358974358974359,0.4780058651026393,Wrong write action
wrong_write_action,158,341,254,scenario_domain_model_language,l2_tools,telecom,qwen3-235b-a22b-inst,vietnamese,0.6220472440944882,0.4633431085043988,Wrong write action
wrong_write_action,158,342,250,scenario_domain_model_language,l2_tools,telecom,qwen3-235b-a22b-inst,indonesian,0.632,0.4619883040935672,Wrong write action
wrong_write_action,156,342,240,scenario_domain_model_language,l2_tools,telecom,qwen3-235b-a22b-inst,tool_mix_2,0.65,0.45614035087719296,Wrong write action
wrong_write_action,154,342,228,scenario_domain_model_language,l2_interaction,telecom,qwen3-235b-a22b-inst,indonesian,0.6754385964912281,0.4502923976608187,Wrong write action
wrong_write_action,150,342,245,scenario_domain_model_language,l2_domain,telecom,qwen3-235b-a22b-inst,thai,0.6122448979591837,0.43859649122807015,Wrong write action
wrong_write_action,148,342,253,scenario_domain_model_language,l2_interaction,telecom,qwen3-235b-a22b-inst,vietnamese,0.5849802371541502,0.4327485380116959,Wrong write action
wrong_write_action,142,342,229,scenario_domain_model_language,l2_domain,telecom,qwen3-235b-a22b-inst,filipino,0.6200873362445415,0.4152046783625731,Wrong write action
wrong_write_action,137,342,266,scenario_domain_model_language,l2_interaction,telecom,qwen3-235b-a22b-inst,thai,0.5150375939849624,0.40058479532163743,Wrong write action
wrong_write_action,136,342,266,scenario_domain_model_language,l2_tools,telecom,qwen3-235b-a22b-inst,chinese,0.5112781954887218,0.39766081871345027,Wrong write action
wrong_write_action,135,342,217,scenario_domain_model_language,l2_tools,telecom,qwen3-235b-a22b-inst,tool_mix_4,0.6221198156682027,0.39473684210526316,Wrong write action
wrong_write_action,134,342,281,scenario_domain_model_language,l2_domain,retail,qwen3-235b-a22b-inst,thai,0.47686832740213525,0.391812865497076,Wrong write action
wrong_write_action,129,338,141,scenario_domain_model_language,l2_interaction,telecom,gpt-5-mini,indonesian,0.9148936170212766,0.3816568047337278,Wrong write action
wrong_write_action,129,341,149,scenario_domain_model_language,l2_domain,telecom,gpt-5-mini,vietnamese,0.8657718120805369,0.3782991202346041,Wrong write action
wrong_write_action,127,342,223,scenario_domain_model_language,l2_domain,telecom,qwen3-235b-a22b-inst,chinese,0.5695067264573991,0.3713450292397661,Wrong write action
wrong_write_action,126,342,208,scenario_domain_model_language,l2_tools,telecom,qwen3-235b-a22b-inst,tool_mix_3,0.6057692307692307,0.3684210526315789,Wrong write action
wrong_write_action,124,341,150,scenario_domain_model_language,l2_interaction,telecom,gpt-5-mini,vietnamese,0.8266666666666667,0.36363636363636365,Wrong write action
wrong_write_action,123,342,239,scenario_domain_model_language,l2_tools,telecom,qwen3-235b-a22b-inst,filipino,0.5146443514644351,0.35964912280701755,Wrong write action
wrong_write_action,121,342,226,scenario_domain_model_language,l2_tools,telecom,qwen3-235b-a22b-inst,thai,0.5353982300884956,0.3538011695906433,Wrong write action
wrong_write_action,119,342,225,scenario_domain_model_language,l2_tools,telecom,qwen3-235b-a22b-inst,tool_mix_5,0.5288888888888889,0.347953216374269,Wrong write action
wrong_write_action,115,340,136,scenario_domain_model_language,l2_domain,telecom,gpt-5-mini,thai,0.8455882352941176,0.3382352941176471,Wrong write action
wrong_write_action,49,150,81,scenario_domain_model_language,l2_domain,airline,qwen3-235b-a22b-inst,thai,0.6049382716049383,0.32666666666666666,Wrong write action
wrong_write_arguments_or_state,111,342,266,scenario_domain_model_language,l2_tools,telecom,qwen3-235b-a22b-inst,chinese,0.41729323308270677,0.32456140350877194,Wrong write args/state
wrong_write_action,110,342,259,scenario_domain_model_language,l2_domain,retail,qwen3-235b-a22b-inst,indonesian,0.4247104247104247,0.3216374269005848,Wrong write action
wrong_write_action,108,342,135,scenario_domain_model_language,l2_interaction,telecom,gpt-5-mini,thai,0.8,0.3157894736842105,Wrong write action
wrong_write_action,107,342,243,scenario_domain_model_language,l2_domain,retail,qwen3-235b-a22b-inst,vietnamese,0.4403292181069959,0.3128654970760234,Wrong write action
wrong_write_action,105,342,253,scenario_domain_model_language,l2_domain,retail,qwen3-235b-a22b-inst,filipino,0.4150197628458498,0.30701754385964913,Wrong write action
loop_or_recovery_failure,46,150,67,scenario_domain_model_language,l2_domain,airline,qwen3.6-35b-a3b,chinese,0.6865671641791045,0.30666666666666664,Loop/recovery
wrong_write_action,103,336,112,scenario_domain_model_language,english,telecom,gpt-5-mini,english,0.9196428571428571,0.30654761904761907,Wrong write action
wrong_write_action,100,341,112,scenario_domain_model_language,l2_tools,telecom,gpt-5-mini,tool_mix_4,0.8928571428571429,0.2932551319648094,Wrong write action
wrong_write_action,100,341,118,scenario_domain_model_language,l2_tools,telecom,gpt-5-mini,tool_mix_5,0.847457627118644,0.2932551319648094,Wrong write action
wrong_write_action,99,341,114,scenario_domain_model_language,l2_tools,telecom,gpt-5-mini,tool_mix_2,0.868421052631579,0.2903225806451613,Wrong write action
wrong_write_action,99,342,230,scenario_domain_model_language,l2_domain,retail,kimi-k2.5,thai,0.43043478260869567,0.2894736842105263,Wrong write action
wrong_write_action,97,338,113,scenario_domain_model_language,l2_tools,telecom,gpt-5-mini,vietnamese,0.8584070796460177,0.2869822485207101,Wrong write action
wrong_write_arguments_or_state,98,342,239,scenario_domain_model_language,l2_tools,telecom,qwen3-235b-a22b-inst,filipino,0.4100418410041841,0.28654970760233917,Wrong write args/state
wrong_write_action,41,150,77,scenario_domain_model_language,l2_domain,airline,qwen3-235b-a22b-inst,vietnamese,0.5324675324675324,0.2733333333333333,Wrong write action
wrong_write_action,92,338,107,scenario_domain_model_language,l2_domain,telecom,gpt-5-mini,filipino,0.8598130841121495,0.27218934911242604,Wrong write action
wrong_write_action,93,342,101,scenario_domain_model_language,l2_tools,telecom,gpt-5-mini,chinese,0.9207920792079208,0.2719298245614035,Wrong write action
loop_or_recovery_failure,92,340,171,scenario_domain_model_language,l2_domain,telecom,gpt-5-mini,indonesian,0.5380116959064327,0.27058823529411763,Loop/recovery
wrong_write_action,92,342,231,scenario_domain_model_language,l2_domain,retail,gpt-5-mini,thai,0.39826839826839827,0.26900584795321636,Wrong write action
wrong_read_arguments,91,342,281,scenario_domain_model_language,l2_domain,retail,qwen3-235b-a22b-inst,thai,0.3238434163701068,0.26608187134502925,Wrong read args
wrong_write_action,90,340,104,scenario_domain_model_language,l2_tools,telecom,gpt-5-mini,tool_mix_3,0.8653846153846154,0.2647058823529412,Wrong write action
wrong_write_action,90,342,251,scenario_domain_model_language,l2_domain,retail,qwen3-235b-a22b-inst,chinese,0.35856573705179284,0.2631578947368421,Wrong write action
wrong_write_arguments_or_state,89,342,157,scenario_domain_model_language,l2_domain,retail,gpt-5-mini,indonesian,0.5668789808917197,0.260233918128655,Wrong write args/state
wrong_write_action,89,342,105,scenario_domain_model_language,l2_domain,telecom,kimi-k2.5,thai,0.8476190476190476,0.260233918128655,Wrong write action
wrong_write_action,88,342,150,scenario_domain_model_language,english,retail,kimi-k2.5,english,0.5866666666666667,0.2573099415204678,Wrong write action
wrong_write_arguments_or_state,88,342,226,scenario_domain_model_language,l2_tools,telecom,qwen3-235b-a22b-inst,thai,0.3893805309734513,0.2573099415204678,Wrong write args/state
wrong_write_arguments_or_state,86,342,225,scenario_domain_model_language,l2_tools,telecom,qwen3-235b-a22b-inst,tool_mix_5,0.38222222222222224,0.25146198830409355,Wrong write args/state
wrong_write_action,84,339,98,scenario_domain_model_language,l2_tools,telecom,gpt-5-mini,indonesian,0.8571428571428571,0.24778761061946902,Wrong write action
wrong_write_arguments_or_state,83,342,138,scenario_domain_model_language,l2_domain,retail,gpt-5-mini,chinese,0.6014492753623188,0.24269005847953215,Wrong write args/state
wrong_write_action,82,341,97,scenario_domain_model_language,l2_tools,telecom,gpt-5-mini,thai,0.845360824742268,0.2404692082111437,Wrong write action
wrong_write_action,36,150,78,scenario_domain_model_language,l2_domain,airline,qwen3-235b-a22b-inst,indonesian,0.46153846153846156,0.24,Wrong write action
wrong_write_action,74,310,138,scenario_domain_model_language,l2_domain,retail,kimi-k2.5,vietnamese,0.5362318840579711,0.23870967741935484,Wrong write action
wrong_write_arguments_or_state,81,342,175,scenario_domain_model_language,l2_domain,retail,gpt-5-mini,filipino,0.46285714285714286,0.23684210526315788,Wrong write args/state
wrong_write_action,81,342,93,scenario_domain_model_language,l2_interaction,telecom,gpt-5-mini,chinese,0.8709677419354839,0.23684210526315788,Wrong write action
wrong_write_arguments_or_state,78,342,223,scenario_domain_model_language,l2_domain,telecom,qwen3-235b-a22b-inst,chinese,0.34977578475336324,0.22807017543859648,Wrong write args/state
wrong_write_action,78,342,89,scenario_domain_model_language,l2_interaction,telecom,gpt-5-mini,filipino,0.8764044943820225,0.22807017543859648,Wrong write action
db_mismatch,34,150,93,scenario_domain_model_language,l2_tools,airline,qwen3-235b-a22b-inst,thai,0.3655913978494624,0.22666666666666666,DB mismatch
db_mismatch,34,150,88,scenario_domain_model_language,l2_tools,airline,qwen3-235b-a22b-inst,tool_mix_3,0.38636363636363635,0.22666666666666666,DB mismatch
wrong_write_action,77,342,96,scenario_domain_model_language,l2_tools,telecom,gpt-5-mini,filipino,0.8020833333333334,0.22514619883040934,Wrong write action
wrong_write_arguments_or_state,76,341,254,scenario_domain_model_language,l2_tools,telecom,qwen3-235b-a22b-inst,vietnamese,0.2992125984251969,0.22287390029325513,Wrong write args/state
wrong_write_action,33,150,79,scenario_domain_model_language,l2_domain,airline,qwen3-235b-a22b-inst,filipino,0.4177215189873418,0.22,Wrong write action
loop_or_recovery_failure,33,150,68,scenario_domain_model_language,l2_domain,airline,qwen3.6-35b-a3b,thai,0.4852941176470588,0.22,Loop/recovery
db_mismatch,33,150,88,scenario_domain_model_language,l2_tools,airline,qwen3-235b-a22b-inst,tool_mix_4,0.375,0.22,DB mismatch
wrong_write_arguments_or_state,74,342,152,scenario_domain_model_language,l2_interaction,retail,qwen3-235b-a22b-inst,vietnamese,0.4868421052631579,0.21637426900584794,Wrong write args/state
wrong_write_arguments_or_state,73,342,259,scenario_domain_model_language,l2_domain,retail,qwen3-235b-a22b-inst,indonesian,0.28185328185328185,0.2134502923976608,Wrong write args/state
wrong_write_action,73,342,82,scenario_domain_model_language,l2_domain,telecom,gpt-5-mini,chinese,0.8902439024390244,0.2134502923976608,Wrong write action
loop_or_recovery_failure,32,150,66,scenario_domain_model_language,l2_domain,airline,kimi-k2.5,vietnamese,0.48484848484848486,0.21333333333333335,Loop/recovery
wrong_write_action,32,150,75,scenario_domain_model_language,l2_domain,airline,qwen3-235b-a22b-inst,chinese,0.4266666666666667,0.21333333333333335,Wrong write action
wrong_write_action,72,340,171,scenario_domain_model_language,l2_domain,telecom,gpt-5-mini,indonesian,0.42105263157894735,0.21176470588235294,Wrong write action
wrong_write_arguments_or_state,72,341,142,scenario_domain_model_language,l2_domain,retail,gpt-5-mini,vietnamese,0.5070422535211268,0.21114369501466276,Wrong write args/state
wrong_write_arguments_or_state,71,342,253,scenario_domain_model_language,l2_domain,retail,qwen3-235b-a22b-inst,filipino,0.28063241106719367,0.20760233918128654,Wrong write args/state
wrong_write_arguments_or_state,71,342,229,scenario_domain_model_language,l2_domain,telecom,qwen3-235b-a22b-inst,filipino,0.31004366812227074,0.20760233918128654,Wrong write args/state
wrong_write_arguments_or_state,71,342,250,scenario_domain_model_language,l2_tools,telecom,qwen3-235b-a22b-inst,indonesian,0.284,0.20760233918128654,Wrong write args/state
db_mismatch,31,150,81,scenario_domain_model_language,l2_interaction,airline,qwen3-235b-a22b-inst,chinese,0.38271604938271603,0.20666666666666667,DB mismatch
wrong_write_action,70,342,289,scenario_domain_model_language,l2_interaction,telecom,qwen3-235b-a22b-inst,filipino,0.2422145328719723,0.2046783625730994,Wrong write action
wrong_write_action,69,342,146,scenario_domain_model_language,l2_interaction,retail,kimi-k2.5,thai,0.4726027397260274,0.20175438596491227,Wrong write action
db_mismatch,30,150,90,scenario_domain_model_language,l2_tools,airline,qwen3-235b-a22b-inst,indonesian,0.3333333333333333,0.2,DB mismatch
wrong_write_arguments_or_state,30,150,88,scenario_domain_model_language,l2_tools,airline,qwen3-235b-a22b-inst,tool_mix_4,0.3409090909090909,0.2,Wrong write args/state
wrong_write_action,68,342,194,scenario_domain_model_language,l2_domain,retail,kimi-k2.5,indonesian,0.35051546391752575,0.19883040935672514,Wrong write action
wrong_write_arguments_or_state,68,342,194,scenario_domain_model_language,l2_domain,retail,kimi-k2.5,indonesian,0.35051546391752575,0.19883040935672514,Wrong write args/state
loop_or_recovery_failure,68,342,230,scenario_domain_model_language,l2_domain,retail,kimi-k2.5,thai,0.2956521739130435,0.19883040935672514,Loop/recovery
loop_or_recovery_failure,68,342,266,scenario_domain_model_language,l2_interaction,telecom,qwen3-235b-a22b-inst,thai,0.2556390977443609,0.19883040935672514,Loop/recovery
wrong_write_arguments_or_state,67,342,231,scenario_domain_model_language,l2_domain,retail,gpt-5-mini,thai,0.29004329004329005,0.195906432748538,Wrong write args/state
wrong_write_arguments_or_state,29,150,90,scenario_domain_model_language,l2_tools,airline,qwen3-235b-a22b-inst,indonesian,0.32222222222222224,0.19333333333333333,Wrong write args/state
wrong_read_arguments,66,342,251,scenario_domain_model_language,l2_domain,retail,qwen3-235b-a22b-inst,chinese,0.26294820717131473,0.19298245614035087,Wrong read args
wrong_write_arguments_or_state,66,342,243,scenario_domain_model_language,l2_domain,retail,qwen3-235b-a22b-inst,vietnamese,0.2716049382716049,0.19298245614035087,Wrong write args/state
wrong_write_arguments_or_state,66,342,153,scenario_domain_model_language,l2_domain,retail,qwen3.6-35b-a3b,indonesian,0.43137254901960786,0.19298245614035087,Wrong write args/state
wrong_write_arguments_or_state,65,342,208,scenario_domain_model_language,l2_tools,telecom,qwen3-235b-a22b-inst,tool_mix_3,0.3125,0.19005847953216373,Wrong write args/state
wrong_write_arguments_or_state,28,150,79,scenario_domain_model_language,l2_domain,airline,qwen3-235b-a22b-inst,filipino,0.35443037974683544,0.18666666666666668,Wrong write args/state
