scenario,scenario_label,role,turn_idx,turn_count,non_target_turn_count,non_target_share
l2_domain,L2 Domain,agent,90,85,17,0.2
l2_domain,L2 Domain,agent,91,15,2,0.133333
l2_domain,L2 Domain,agent,92,84,12,0.142857
l2_domain,L2 Domain,agent,93,3,0,0.0
l2_domain,L2 Domain,agent,94,77,17,0.220779
l2_domain,L2 Domain,agent,95,8,0,0.0
l2_domain,L2 Domain,agent,96,63,6,0.095238
l2_domain,L2 Domain,agent,97,10,2,0.2
l2_domain,L2 Domain,agent,98,60,9,0.15
l2_domain,L2 Domain,agent,99,3,0,0.0
l2_domain,L2 Domain,agent,100,43,5,0.116279
l2_domain,L2 Domain,agent,101,2,1,0.5
l2_domain,L2 Domain,agent,102,37,9,0.243243
l2_domain,L2 Domain,agent,103,2,1,0.5
l2_domain,L2 Domain,agent,104,48,8,0.166667
l2_domain,L2 Domain,agent,106,32,4,0.125
l2_domain,L2 Domain,agent,107,2,1,0.5
l2_domain,L2 Domain,agent,108,31,3,0.096774
l2_domain,L2 Domain,agent,109,3,0,0.0
l2_domain,L2 Domain,agent,110,25,4,0.16
l2_domain,L2 Domain,agent,111,1,0,0.0
l2_domain,L2 Domain,agent,112,28,8,0.285714
l2_domain,L2 Domain,agent,113,2,0,0.0
l2_domain,L2 Domain,agent,114,20,2,0.1
l2_domain,L2 Domain,agent,115,1,0,0.0
l2_domain,L2 Domain,agent,116,23,4,0.173913
l2_domain,L2 Domain,agent,117,1,0,0.0
l2_domain,L2 Domain,agent,118,12,1,0.083333
l2_domain,L2 Domain,agent,119,1,0,0.0
l2_domain,L2 Domain,agent,120,16,4,0.25
l2_domain,L2 Domain,agent,121,2,0,0.0
l2_domain,L2 Domain,agent,122,12,3,0.25
l2_domain,L2 Domain,agent,123,3,1,0.333333
l2_domain,L2 Domain,agent,124,9,0,0.0
l2_domain,L2 Domain,agent,125,1,0,0.0
l2_domain,L2 Domain,agent,126,12,1,0.083333
l2_domain,L2 Domain,agent,127,1,0,0.0
l2_domain,L2 Domain,agent,128,17,1,0.058824
l2_domain,L2 Domain,agent,129,1,0,0.0
l2_domain,L2 Domain,agent,130,10,2,0.2
l2_domain,L2 Domain,agent,132,13,4,0.307692
l2_domain,L2 Domain,agent,133,1,0,0.0
l2_domain,L2 Domain,agent,134,8,2,0.25
l2_domain,L2 Domain,agent,135,1,0,0.0
l2_domain,L2 Domain,agent,136,8,1,0.125
l2_domain,L2 Domain,agent,138,7,3,0.428571
l2_domain,L2 Domain,agent,140,7,2,0.285714
l2_domain,L2 Domain,agent,142,8,2,0.25
l2_domain,L2 Domain,agent,144,7,2,0.285714
l2_domain,L2 Domain,agent,146,7,1,0.142857
l2_domain,L2 Domain,agent,148,7,1,0.142857
l2_domain,L2 Domain,agent,150,7,2,0.285714
l2_domain,L2 Domain,agent,152,4,1,0.25
l2_domain,L2 Domain,agent,154,5,2,0.4
l2_domain,L2 Domain,agent,156,4,0,0.0
l2_domain,L2 Domain,agent,158,5,1,0.2
l2_domain,L2 Domain,agent,160,4,1,0.25
l2_domain,L2 Domain,agent,162,6,1,0.166667
l2_domain,L2 Domain,agent,164,3,0,0.0
l2_domain,L2 Domain,agent,166,4,0,0.0
l2_domain,L2 Domain,agent,168,6,1,0.166667
l2_domain,L2 Domain,agent,170,5,1,0.2
l2_domain,L2 Domain,agent,172,6,1,0.166667
l2_domain,L2 Domain,agent,174,6,1,0.166667
l2_domain,L2 Domain,agent,176,4,1,0.25
l2_domain,L2 Domain,agent,178,4,1,0.25
l2_domain,L2 Domain,agent,180,4,1,0.25
l2_domain,L2 Domain,agent,182,5,1,0.2
l2_domain,L2 Domain,agent,184,5,1,0.2
l2_domain,L2 Domain,agent,186,4,1,0.25
l2_domain,L2 Domain,agent,188,4,1,0.25
l2_domain,L2 Domain,agent,190,5,1,0.2
l2_domain,L2 Domain,agent,192,4,1,0.25
l2_domain,L2 Domain,agent,194,4,1,0.25
l2_domain,L2 Domain,agent,196,3,0,0.0
l2_domain,L2 Domain,agent,198,3,0,0.0
l2_domain,L2 Domain,agent,200,3,0,0.0
l2_domain,L2 Domain,agent,202,2,1,0.5
l2_domain,L2 Domain,user,1,12465,4,0.000321
l2_domain,L2 Domain,user,3,8637,233,0.026977
l2_domain,L2 Domain,user,5,1476,41,0.027778
l2_domain,L2 Domain,user,6,12,0,0.0
l2_domain,L2 Domain,user,7,2178,60,0.027548
l2_domain,L2 Domain,user,8,64,2,0.03125
l2_domain,L2 Domain,user,9,2236,27,0.012075
l2_domain,L2 Domain,user,10,115,1,0.008696
l2_domain,L2 Domain,user,11,2472,27,0.010922
l2_domain,L2 Domain,user,12,260,5,0.019231
l2_domain,L2 Domain,user,13,3318,39,0.011754
l2_domain,L2 Domain,user,14,399,10,0.025063
l2_domain,L2 Domain,user,15,3805,38,0.009987
l2_domain,L2 Domain,user,16,440,9,0.020455
l2_domain,L2 Domain,user,17,3570,43,0.012045
l2_domain,L2 Domain,user,18,382,2,0.005236
l2_domain,L2 Domain,user,19,3253,31,0.00953
l2_domain,L2 Domain,user,20,372,10,0.026882
l2_domain,L2 Domain,user,21,3151,31,0.009838
l2_domain,L2 Domain,user,22,317,6,0.018927
l2_domain,L2 Domain,user,23,2827,36,0.012734
l2_domain,L2 Domain,user,24,297,4,0.013468
l2_domain,L2 Domain,user,25,2546,26,0.010212
l2_domain,L2 Domain,user,26,274,7,0.025547
l2_domain,L2 Domain,user,27,2135,23,0.010773
l2_domain,L2 Domain,user,28,219,2,0.009132
l2_domain,L2 Domain,user,29,2012,26,0.012922
l2_domain,L2 Domain,user,30,200,2,0.01
l2_domain,L2 Domain,user,31,1853,16,0.008635
l2_domain,L2 Domain,user,32,170,5,0.029412
l2_domain,L2 Domain,user,33,1654,21,0.012696
l2_domain,L2 Domain,user,34,139,2,0.014388
l2_domain,L2 Domain,user,35,1516,12,0.007916
l2_domain,L2 Domain,user,36,145,2,0.013793
l2_domain,L2 Domain,user,37,1388,7,0.005043
l2_domain,L2 Domain,user,38,125,3,0.024
l2_domain,L2 Domain,user,39,1398,6,0.004292
l2_domain,L2 Domain,user,40,123,0,0.0
l2_domain,L2 Domain,user,41,1251,5,0.003997
l2_domain,L2 Domain,user,42,116,1,0.008621
l2_domain,L2 Domain,user,43,1191,6,0.005038
l2_domain,L2 Domain,user,44,91,1,0.010989
l2_domain,L2 Domain,user,45,1081,6,0.00555
l2_domain,L2 Domain,user,46,101,1,0.009901
l2_domain,L2 Domain,user,47,967,5,0.005171
l2_domain,L2 Domain,user,48,91,0,0.0
l2_domain,L2 Domain,user,49,901,6,0.006659
l2_domain,L2 Domain,user,50,79,0,0.0
l2_domain,L2 Domain,user,51,791,3,0.003793
l2_domain,L2 Domain,user,52,72,0,0.0
l2_domain,L2 Domain,user,53,752,4,0.005319
l2_domain,L2 Domain,user,54,65,0,0.0
l2_domain,L2 Domain,user,55,682,3,0.004399
l2_domain,L2 Domain,user,56,69,0,0.0
l2_domain,L2 Domain,user,57,609,2,0.003284
l2_domain,L2 Domain,user,58,63,0,0.0
l2_domain,L2 Domain,user,59,578,3,0.00519
l2_domain,L2 Domain,user,60,66,0,0.0
l2_domain,L2 Domain,user,61,527,5,0.009488
l2_domain,L2 Domain,user,62,58,0,0.0
l2_domain,L2 Domain,user,63,487,3,0.00616
l2_domain,L2 Domain,user,64,47,0,0.0
l2_domain,L2 Domain,user,65,464,3,0.006466
l2_domain,L2 Domain,user,66,52,0,0.0
l2_domain,L2 Domain,user,67,388,7,0.018041
l2_domain,L2 Domain,user,68,32,0,0.0
l2_domain,L2 Domain,user,69,386,0,0.0
l2_domain,L2 Domain,user,70,30,0,0.0
l2_domain,L2 Domain,user,71,324,3,0.009259
l2_domain,L2 Domain,user,72,29,1,0.034483
l2_domain,L2 Domain,user,73,300,4,0.013333
l2_domain,L2 Domain,user,74,32,2,0.0625
l2_domain,L2 Domain,user,75,253,0,0.0
l2_domain,L2 Domain,user,76,33,1,0.030303
l2_domain,L2 Domain,user,77,231,4,0.017316
l2_domain,L2 Domain,user,78,23,0,0.0
l2_domain,L2 Domain,user,79,218,2,0.009174
l2_domain,L2 Domain,user,80,23,0,0.0
l2_domain,L2 Domain,user,81,181,2,0.01105
l2_domain,L2 Domain,user,82,23,0,0.0
l2_domain,L2 Domain,user,83,171,4,0.023392
l2_domain,L2 Domain,user,84,20,1,0.05
l2_domain,L2 Domain,user,85,143,2,0.013986
l2_domain,L2 Domain,user,86,17,0,0.0
l2_domain,L2 Domain,user,87,105,3,0.028571
l2_domain,L2 Domain,user,88,19,0,0.0
l2_domain,L2 Domain,user,89,110,3,0.027273
l2_domain,L2 Domain,user,90,11,0,0.0
l2_domain,L2 Domain,user,91,94,1,0.010638
l2_domain,L2 Domain,user,92,8,1,0.125
l2_domain,L2 Domain,user,93,80,1,0.0125
l2_domain,L2 Domain,user,94,11,0,0.0
l2_domain,L2 Domain,user,95,64,1,0.015625
l2_domain,L2 Domain,user,96,9,0,0.0
l2_domain,L2 Domain,user,97,47,1,0.021277
l2_domain,L2 Domain,user,98,3,0,0.0
l2_domain,L2 Domain,user,99,51,1,0.019608
l2_domain,L2 Domain,user,100,3,0,0.0
l2_domain,L2 Domain,user,101,46,0,0.0
l2_domain,L2 Domain,user,102,3,0,0.0
l2_domain,L2 Domain,user,103,44,0,0.0
l2_domain,L2 Domain,user,104,2,1,0.5
l2_domain,L2 Domain,user,105,28,0,0.0
l2_domain,L2 Domain,user,106,2,0,0.0
l2_domain,L2 Domain,user,107,37,1,0.027027
l2_domain,L2 Domain,user,108,1,0,0.0
l2_domain,L2 Domain,user,109,25,0,0.0
l2_domain,L2 Domain,user,110,2,0,0.0
l2_domain,L2 Domain,user,111,28,0,0.0
l2_domain,L2 Domain,user,112,3,0,0.0
l2_domain,L2 Domain,user,113,20,0,0.0
l2_domain,L2 Domain,user,114,2,0,0.0
l2_domain,L2 Domain,user,115,25,1,0.04
l2_domain,L2 Domain,user,117,16,0,0.0
l2_domain,L2 Domain,user,118,2,0,0.0
l2_domain,L2 Domain,user,119,12,0,0.0
l2_domain,L2 Domain,user,120,1,0,0.0
l2_domain,L2 Domain,user,121,15,0,0.0
l2_domain,L2 Domain,user,123,9,0,0.0
l2_domain,L2 Domain,user,124,2,0,0.0
l2_domain,L2 Domain,user,125,15,1,0.066667
l2_domain,L2 Domain,user,126,1,0,0.0
l2_domain,L2 Domain,user,127,13,0,0.0
l2_domain,L2 Domain,user,129,13,2,0.153846
l2_domain,L2 Domain,user,130,1,0,0.0
l2_domain,L2 Domain,user,131,10,0,0.0
l2_domain,L2 Domain,user,132,1,0,0.0
l2_domain,L2 Domain,user,133,9,0,0.0
l2_domain,L2 Domain,user,134,1,0,0.0
l2_domain,L2 Domain,user,135,6,0,0.0
l2_domain,L2 Domain,user,136,1,0,0.0
l2_domain,L2 Domain,user,137,8,0,0.0
l2_domain,L2 Domain,user,139,7,0,0.0
l2_domain,L2 Domain,user,141,7,0,0.0
l2_domain,L2 Domain,user,143,7,0,0.0
l2_domain,L2 Domain,user,145,7,1,0.142857
l2_domain,L2 Domain,user,147,8,0,0.0
l2_domain,L2 Domain,user,149,6,0,0.0
l2_domain,L2 Domain,user,151,4,0,0.0
l2_domain,L2 Domain,user,153,5,0,0.0
l2_domain,L2 Domain,user,155,6,0,0.0
l2_domain,L2 Domain,user,157,6,0,0.0
l2_domain,L2 Domain,user,159,5,0,0.0
l2_domain,L2 Domain,user,161,3,0,0.0
l2_domain,L2 Domain,user,163,3,0,0.0
l2_domain,L2 Domain,user,165,4,0,0.0
l2_domain,L2 Domain,user,167,5,0,0.0
l2_domain,L2 Domain,user,169,6,0,0.0
l2_domain,L2 Domain,user,171,5,1,0.2
l2_domain,L2 Domain,user,173,6,0,0.0
l2_domain,L2 Domain,user,175,4,0,0.0
l2_domain,L2 Domain,user,177,4,0,0.0
l2_domain,L2 Domain,user,179,4,0,0.0
l2_domain,L2 Domain,user,181,5,0,0.0
l2_domain,L2 Domain,user,183,5,0,0.0
l2_domain,L2 Domain,user,185,4,0,0.0
l2_domain,L2 Domain,user,187,4,0,0.0
l2_domain,L2 Domain,user,189,5,0,0.0
l2_domain,L2 Domain,user,191,4,0,0.0
l2_domain,L2 Domain,user,193,4,0,0.0
l2_domain,L2 Domain,user,195,4,0,0.0
l2_domain,L2 Domain,user,197,3,0,0.0
l2_domain,L2 Domain,user,199,4,0,0.0
l2_domain,L2 Domain,user,201,1,0,0.0
l2_interaction,L2 Interaction,agent,2,11325,50,0.004415
l2_interaction,L2 Interaction,agent,4,1565,35,0.022364
l2_interaction,L2 Interaction,agent,5,7,0,0.0
l2_interaction,L2 Interaction,agent,6,4086,85,0.020803
l2_interaction,L2 Interaction,agent,7,74,4,0.054054
l2_interaction,L2 Interaction,agent,8,2433,115,0.047267
l2_interaction,L2 Interaction,agent,9,220,12,0.054545
l2_interaction,L2 Interaction,agent,10,3289,144,0.043782
l2_interaction,L2 Interaction,agent,11,547,51,0.093236
l2_interaction,L2 Interaction,agent,12,4230,217,0.0513
l2_interaction,L2 Interaction,agent,13,795,41,0.051572
l2_interaction,L2 Interaction,agent,14,4666,250,0.053579
l2_interaction,L2 Interaction,agent,15,847,77,0.090909
l2_interaction,L2 Interaction,agent,16,4072,201,0.049361
l2_interaction,L2 Interaction,agent,17,782,97,0.124041
l2_interaction,L2 Interaction,agent,18,3656,193,0.05279
l2_interaction,L2 Interaction,agent,19,720,77,0.106944
l2_interaction,L2 Interaction,agent,20,3234,164,0.050711
l2_interaction,L2 Interaction,agent,21,681,66,0.096916
l2_interaction,L2 Interaction,agent,22,2727,135,0.049505
l2_interaction,L2 Interaction,agent,23,523,52,0.099426
l2_interaction,L2 Interaction,agent,24,2545,155,0.060904
l2_interaction,L2 Interaction,agent,25,418,42,0.100478
l2_interaction,L2 Interaction,agent,26,2218,131,0.059062
l2_interaction,L2 Interaction,agent,27,328,44,0.134146
l2_interaction,L2 Interaction,agent,28,1988,106,0.05332
l2_interaction,L2 Interaction,agent,29,228,21,0.092105
l2_interaction,L2 Interaction,agent,30,1640,108,0.065854
l2_interaction,L2 Interaction,agent,31,161,23,0.142857
l2_interaction,L2 Interaction,agent,32,1475,66,0.044746
l2_interaction,L2 Interaction,agent,33,128,12,0.09375
l2_interaction,L2 Interaction,agent,34,1334,66,0.049475
l2_interaction,L2 Interaction,agent,35,103,7,0.067961
l2_interaction,L2 Interaction,agent,36,1208,63,0.052152
l2_interaction,L2 Interaction,agent,37,73,8,0.109589
l2_interaction,L2 Interaction,agent,38,1064,53,0.049812
l2_interaction,L2 Interaction,agent,39,58,4,0.068966
l2_interaction,L2 Interaction,agent,40,1081,42,0.038853
l2_interaction,L2 Interaction,agent,41,50,4,0.08
l2_interaction,L2 Interaction,agent,42,908,58,0.063877
l2_interaction,L2 Interaction,agent,43,50,3,0.06
l2_interaction,L2 Interaction,agent,44,904,49,0.054204
l2_interaction,L2 Interaction,agent,45,40,3,0.075
l2_interaction,L2 Interaction,agent,46,807,46,0.057001
l2_interaction,L2 Interaction,agent,47,35,2,0.057143
l2_interaction,L2 Interaction,agent,48,723,57,0.078838
l2_interaction,L2 Interaction,agent,49,36,2,0.055556
l2_interaction,L2 Interaction,agent,50,716,64,0.089385
l2_interaction,L2 Interaction,agent,51,35,4,0.114286
l2_interaction,L2 Interaction,agent,52,655,55,0.083969
l2_interaction,L2 Interaction,agent,53,32,0,0.0
l2_interaction,L2 Interaction,agent,54,591,59,0.099831
l2_interaction,L2 Interaction,agent,55,26,0,0.0
l2_interaction,L2 Interaction,agent,56,527,51,0.096774
l2_interaction,L2 Interaction,agent,57,16,0,0.0
l2_interaction,L2 Interaction,agent,58,508,62,0.122047
l2_interaction,L2 Interaction,agent,59,26,3,0.115385
l2_interaction,L2 Interaction,agent,60,445,55,0.123596
l2_interaction,L2 Interaction,agent,61,19,0,0.0
l2_interaction,L2 Interaction,agent,62,413,44,0.106538
l2_interaction,L2 Interaction,agent,63,24,3,0.125
l2_interaction,L2 Interaction,agent,64,392,53,0.135204
l2_interaction,L2 Interaction,agent,65,15,0,0.0
l2_interaction,L2 Interaction,agent,66,361,42,0.116343
l2_interaction,L2 Interaction,agent,67,16,0,0.0
l2_interaction,L2 Interaction,agent,68,349,50,0.143266
l2_interaction,L2 Interaction,agent,69,22,1,0.045455
l2_interaction,L2 Interaction,agent,70,294,33,0.112245
l2_interaction,L2 Interaction,agent,71,20,1,0.05
l2_interaction,L2 Interaction,agent,72,281,34,0.120996
l2_interaction,L2 Interaction,agent,73,17,3,0.176471
l2_interaction,L2 Interaction,agent,74,239,26,0.108787
l2_interaction,L2 Interaction,agent,75,22,1,0.045455
l2_interaction,L2 Interaction,agent,76,228,25,0.109649
l2_interaction,L2 Interaction,agent,77,23,2,0.086957
l2_interaction,L2 Interaction,agent,78,203,25,0.123153
l2_interaction,L2 Interaction,agent,79,16,1,0.0625
l2_interaction,L2 Interaction,agent,80,191,20,0.104712
l2_interaction,L2 Interaction,agent,81,14,2,0.142857
l2_interaction,L2 Interaction,agent,82,129,19,0.147287
l2_interaction,L2 Interaction,agent,83,13,2,0.153846
l2_interaction,L2 Interaction,agent,84,143,24,0.167832
l2_interaction,L2 Interaction,agent,85,9,0,0.0
l2_interaction,L2 Interaction,agent,86,121,21,0.173554
l2_interaction,L2 Interaction,agent,87,8,1,0.125
l2_interaction,L2 Interaction,agent,88,112,17,0.151786
l2_interaction,L2 Interaction,agent,89,13,2,0.153846
l2_interaction,L2 Interaction,agent,90,90,13,0.144444
l2_interaction,L2 Interaction,agent,91,9,1,0.111111
l2_interaction,L2 Interaction,agent,92,87,15,0.172414
l2_interaction,L2 Interaction,agent,93,8,0,0.0
l2_interaction,L2 Interaction,agent,94,76,10,0.131579
l2_interaction,L2 Interaction,agent,95,8,0,0.0
l2_interaction,L2 Interaction,agent,96,73,14,0.191781
l2_interaction,L2 Interaction,agent,97,4,1,0.25
l2_interaction,L2 Interaction,agent,98,64,12,0.1875
l2_interaction,L2 Interaction,agent,99,3,0,0.0
l2_interaction,L2 Interaction,agent,100,57,6,0.105263
l2_interaction,L2 Interaction,agent,101,5,0,0.0
l2_interaction,L2 Interaction,agent,102,42,6,0.142857
l2_interaction,L2 Interaction,agent,103,5,1,0.2
l2_interaction,L2 Interaction,agent,104,50,11,0.22
l2_interaction,L2 Interaction,agent,105,1,0,0.0
l2_interaction,L2 Interaction,agent,106,31,4,0.129032
l2_interaction,L2 Interaction,agent,107,2,0,0.0
l2_interaction,L2 Interaction,agent,108,38,8,0.210526
l2_interaction,L2 Interaction,agent,109,1,0,0.0
l2_interaction,L2 Interaction,agent,110,31,2,0.064516
l2_interaction,L2 Interaction,agent,111,3,0,0.0
l2_interaction,L2 Interaction,agent,112,27,7,0.259259
l2_interaction,L2 Interaction,agent,113,3,0,0.0
l2_interaction,L2 Interaction,agent,114,25,3,0.12
l2_interaction,L2 Interaction,agent,115,4,0,0.0
l2_interaction,L2 Interaction,agent,116,26,5,0.192308
l2_interaction,L2 Interaction,agent,117,2,0,0.0
l2_interaction,L2 Interaction,agent,118,21,4,0.190476
l2_interaction,L2 Interaction,agent,119,4,0,0.0
l2_interaction,L2 Interaction,agent,120,20,2,0.1
l2_interaction,L2 Interaction,agent,121,1,0,0.0
l2_interaction,L2 Interaction,agent,122,16,3,0.1875
l2_interaction,L2 Interaction,agent,123,2,0,0.0
l2_interaction,L2 Interaction,agent,124,18,3,0.166667
l2_interaction,L2 Interaction,agent,125,1,0,0.0
l2_interaction,L2 Interaction,agent,126,16,3,0.1875
l2_interaction,L2 Interaction,agent,127,4,0,0.0
l2_interaction,L2 Interaction,agent,128,10,0,0.0
l2_interaction,L2 Interaction,agent,129,1,0,0.0
l2_interaction,L2 Interaction,agent,130,11,1,0.090909
l2_interaction,L2 Interaction,agent,131,2,1,0.5
l2_interaction,L2 Interaction,agent,132,13,1,0.076923
l2_interaction,L2 Interaction,agent,133,2,0,0.0
l2_interaction,L2 Interaction,agent,134,8,2,0.25
l2_interaction,L2 Interaction,agent,135,3,0,0.0
l2_interaction,L2 Interaction,agent,136,10,1,0.1
l2_interaction,L2 Interaction,agent,137,2,0,0.0
l2_interaction,L2 Interaction,agent,138,8,0,0.0
l2_interaction,L2 Interaction,agent,139,1,0,0.0
l2_interaction,L2 Interaction,agent,140,8,0,0.0
l2_interaction,L2 Interaction,agent,141,1,0,0.0
l2_interaction,L2 Interaction,agent,142,6,1,0.166667
l2_interaction,L2 Interaction,agent,143,1,0,0.0
l2_interaction,L2 Interaction,agent,144,9,0,0.0
l2_interaction,L2 Interaction,agent,146,9,2,0.222222
l2_interaction,L2 Interaction,agent,148,5,0,0.0
l2_interaction,L2 Interaction,agent,150,4,1,0.25
l2_interaction,L2 Interaction,agent,152,4,0,0.0
l2_interaction,L2 Interaction,agent,154,4,0,0.0
l2_interaction,L2 Interaction,agent,156,7,1,0.142857
l2_interaction,L2 Interaction,agent,158,6,1,0.166667
l2_interaction,L2 Interaction,agent,160,5,0,0.0
l2_interaction,L2 Interaction,agent,162,4,0,0.0
l2_interaction,L2 Interaction,agent,164,4,0,0.0
l2_interaction,L2 Interaction,agent,166,5,0,0.0
l2_interaction,L2 Interaction,agent,168,6,0,0.0
l2_interaction,L2 Interaction,agent,170,2,0,0.0
l2_interaction,L2 Interaction,agent,172,5,0,0.0
l2_interaction,L2 Interaction,agent,174,4,0,0.0
l2_interaction,L2 Interaction,agent,176,5,0,0.0
l2_interaction,L2 Interaction,agent,178,4,1,0.25
l2_interaction,L2 Interaction,agent,180,3,0,0.0
l2_interaction,L2 Interaction,agent,182,3,1,0.333333
l2_interaction,L2 Interaction,agent,184,4,0,0.0
l2_interaction,L2 Interaction,agent,186,2,0,0.0
l2_interaction,L2 Interaction,agent,188,4,0,0.0
l2_interaction,L2 Interaction,agent,190,2,0,0.0
l2_interaction,L2 Interaction,agent,192,3,0,0.0
l2_interaction,L2 Interaction,agent,194,2,0,0.0
l2_interaction,L2 Interaction,agent,196,3,0,0.0
l2_interaction,L2 Interaction,agent,198,2,0,0.0
l2_interaction,L2 Interaction,agent,200,4,0,0.0
l2_interaction,L2 Interaction,user,1,12505,167,0.013355
l2_interaction,L2 Interaction,user,3,10619,471,0.044354
l2_interaction,L2 Interaction,user,5,998,124,0.124248
l2_interaction,L2 Interaction,user,6,7,0,0.0
l2_interaction,L2 Interaction,user,7,2310,131,0.05671
l2_interaction,L2 Interaction,user,8,52,5,0.096154
l2_interaction,L2 Interaction,user,9,1658,98,0.059107
l2_interaction,L2 Interaction,user,10,108,8,0.074074
l2_interaction,L2 Interaction,user,11,1971,119,0.060375
l2_interaction,L2 Interaction,user,12,379,19,0.050132
l2_interaction,L2 Interaction,user,13,2800,97,0.034643
l2_interaction,L2 Interaction,user,14,565,55,0.097345
l2_interaction,L2 Interaction,user,15,3519,140,0.039784
l2_interaction,L2 Interaction,user,16,606,55,0.090759
